rxn_id,enzyme_id,parameter,ident,top_descriptor,identifiable_from_growth
ACKr,,kcat_i,0.0,rmax,False
GAPD,,kcat_i,0.0,rmax,False
TKT2,,kcat_i,0.0,rmax,False
PDH,,kcat_i,0.0,rmax,False
RPE,,kcat_i,0.0,rmax,False
TKT1,,kcat_i,0.0,rmax,False
TPI,,kcat_i,0.0,rmax,False
G6PDH2r,,kcat_i,0.05942578222965081,rmax,True
TALA,,kcat_i,0.0,rmax,False
PFL,,kcat_i,0.0,rmax,False
O2t,,kcat_i,0.047157756660574965,rmax,False
PYK,,kcat_i,0.0,rmax,False
ACt2r,,kcat_i,0.0,rmax,False
PFK,,kcat_i,1.4258071136456744e-14,rmax,False
PPC,,kcat_i,0.0,rmax,False
FUM,,kcat_i,0.0,rmax,False
PIt2r,,kcat_i,0.027208933866927087,rmax,False
PGL,,kcat_i,0.012894000184440233,rmax,False
RPI,,kcat_i,0.0,rmax,False
NH4t,,kcat_i,0.015302536260564265,rmax,False
PGM,,kcat_i,0.0,rmax,False
FORti,,kcat_i,0.010180183081897297,rmax,False
SUCDi,,kcat_i,0.0,rmax,False
MDH,,kcat_i,0.0,rmax,False
GLUDy,,kcat_i,1.4258071136456744e-14,rmax,False
ACONTa,,kcat_i,0.0,rmax,False
ICDHyr,,kcat_i,0.0,rmax,False
MALS,,kcat_i,0.0,rmax,False
ACONTb,,kcat_i,0.0,rmax,False
CS,,kcat_i,0.0,rmax,False
GLNS,,kcat_i,0.0,rmax,False
ICL,,kcat_i,0.0,rmax,False
