"Trait","Temperature_C","Replicate","Prothioconazole_mg_L","log10_Prothioconazole_mg_L","Rate_raw","log10_Rate"
"Growth rate (C C⁻¹ h⁻¹)",15,"R3",4,0.602059991327962,0.0103700702503511,-1.98421830154379
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.06,-1.22184874961636,0.0434787810394461,-1.36172264018977
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.06,-1.22184874961636,0.0408701758000171,-1.38859349419902
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.06,-1.22184874961636,0.0438330855307813,-1.35819795709355
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.12,-0.920818753952375,0.0406428181189353,-1.39101618627851
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.12,-0.920818753952375,0.0418928534129786,-1.37786005789356
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.12,-0.920818753952375,0.0467818606271068,-1.32992250924735
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.25,-0.602059991327962,0.0364225452405079,-1.43862970858821
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.25,-0.602059991327962,0.0385252957400342,-1.41425401872838
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.25,-0.602059991327962,0.0414940444676649,-1.38201423197308
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",0.5,-0.301029995663981,0.0371550008057161,-1.42998272494069
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",0.5,-0.301029995663981,0.0340957752851885,-1.46729942992235
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",0.5,-0.301029995663981,0.0358792548013018,-1.44515658566817
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",1,0,0.0301037993267291,-1.52137868970496
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",1,0,0.0269348562300985,-1.56968533824097
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",1,0,0.0355982125630528,-1.44857180802408
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",2,0.301029995663981,0.0277283920237299,-1.5570753145357
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",2,0.301029995663981,0.0371397522109329,-1.4301609981133
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",2,0.301029995663981,0.0282683575206706,-1.54869942463507
"Growth rate (C C⁻¹ h⁻¹)",18,"R1",4,0.602059991327962,0.0216158746737364,-1.66522718630236
"Growth rate (C C⁻¹ h⁻¹)",18,"R2",4,0.602059991327962,0.0263550735246285,-1.57913576786504
"Growth rate (C C⁻¹ h⁻¹)",18,"R3",4,0.602059991327962,0.0269751148698377,-1.56903669725745
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.06,-1.22184874961636,0.0491958148851062,-1.30807184133047
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.06,-1.22184874961636,0.0577592152387967,-1.2383787160578
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.06,-1.22184874961636,0.0489576836332108,-1.31017913843424
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.12,-0.920818753952375,0.0454839851799772,-1.34214149064547
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.12,-0.920818753952375,0.0437872490412077,-1.35865233874833
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.12,-0.920818753952375,0.0421667526962874,-1.3750298431489
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.25,-0.602059991327962,0.0426389042909931,-1.37019396407739
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.25,-0.602059991327962,0.0386100403862494,-1.41329974410203
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.25,-0.602059991327962,0.0443187755323027,-1.35341224708175
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",0.5,-0.301029995663981,0.039627975738438,-1.4019981115689
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",0.5,-0.301029995663981,0.0311739285206044,-1.50620846473269
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",0.5,-0.301029995663981,0.0395460642312201,-1.40289673258899
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",1,0,0.0357747666470976,-1.44642319039022
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",1,0,0.0359350842210787,-1.4444813329498
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",1,0,0.0263703105570075,-1.57888475559145
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",2,0.301029995663981,0.0251633865677298,-1.59923091057562
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",2,0.301029995663981,0.0268967185208014,-1.57030070197677
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",2,0.301029995663981,0.0273966363779597,-1.56230275441183
"Growth rate (C C⁻¹ h⁻¹)",21,"R1",4,0.602059991327962,0.0235070804903686,-1.62880130561159
"Growth rate (C C⁻¹ h⁻¹)",21,"R2",4,0.602059991327962,0.0189236711826316,-1.72299460685098
"Growth rate (C C⁻¹ h⁻¹)",21,"R3",4,0.602059991327962,0.0258411199459403,-1.587688668084
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.06,-1.22184874961636,0.0593755315405165,-1.22639248946678
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.06,-1.22184874961636,0.0621548972835414,-1.20652464691893
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.06,-1.22184874961636,0.0578054303965538,-1.23803136087917
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.12,-0.920818753952375,0.0505572885195017,-1.29621622611403
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.12,-0.920818753952375,0.0520455752249494,-1.28361618713467
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.12,-0.920818753952375,0.0920309854432559,-1.03606592763902
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.25,-0.602059991327962,0.0527072808181744,-1.27812938856827
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.25,-0.602059991327962,0.046668383063502,-1.33097724601357
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.25,-0.602059991327962,0.0460942522421282,-1.33635322591522
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",0.5,-0.301029995663981,0.0407492976275193,-1.38987987254662
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",0.5,-0.301029995663981,0.0361005503473155,-1.44248617729156
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",0.5,-0.301029995663981,0.0377760011624989,-1.4227840169006
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",1,0,0.0424888672487823,-1.37172484702677
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",1,0,0.0399312612626697,-1.39868697203038
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",1,0,0.0327611270414601,-1.48464116614643
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",2,0.301029995663981,0.0181321377116211,-1.74155099118129
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",2,0.301029995663981,0.0248803514159861,-1.6041434898596
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",2,0.301029995663981,0.0198359888924187,-1.70254614357324
"Growth rate (C C⁻¹ h⁻¹)",24,"R1",4,0.602059991327962,0.0193198959994516,-1.71399521575623
"Growth rate (C C⁻¹ h⁻¹)",24,"R2",4,0.602059991327962,0.0184514678574354,-1.73396907898854
"Growth rate (C C⁻¹ h⁻¹)",24,"R3",4,0.602059991327962,0.01681063337542,-1.77441592330843
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.06,-1.22184874961636,0.0518494392889179,-1.28525593580427
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.06,-1.22184874961636,0.0382557906472337,-1.4173028178751
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.12,-0.920818753952375,0.0415157038660136,-1.38178759455792
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.12,-0.920818753952375,0.0385458344323208,-1.41402254837322
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",0.12,-0.920818753952375,0.0256123488572483,-1.59155059142752
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.25,-0.602059991327962,0.0480683653032452,-1.31814064699662
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.25,-0.602059991327962,0.0286922467897099,-1.54223544233722
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",0.25,-0.602059991327962,0.0561162316004592,-1.2509115010449
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",0.5,-0.301029995663981,0.037081465117482,-1.43084311487632
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",0.5,-0.301029995663981,0.0224509512056191,-1.64876525401032
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",0.5,-0.301029995663981,0.0582326920099339,-1.23483313264596
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",1,0,0.029383147067769,-1.53190169115397
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",1,0,0.0324769698493367,-1.48842449787612
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",1,0,0.0294812749016519,-1.53045373957892
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",2,0.301029995663981,0.0197704081447541,-1.70398436492078
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",2,0.301029995663981,0.0223728162244659,-1.65027934474719
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",2,0.301029995663981,0.0217589596555376,-1.6623618730667
"Growth rate (C C⁻¹ h⁻¹)",26,"R1",4,0.602059991327962,0.0211272310984916,-1.67515741716646
"Growth rate (C C⁻¹ h⁻¹)",26,"R2",4,0.602059991327962,0.0229778051437962,-1.63869145778273
"Growth rate (C C⁻¹ h⁻¹)",26,"R3",4,0.602059991327962,0.0289654910728231,-1.5381191041955
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.06,-1.22184874961636,0.0201258961232248,-1.69624477318582
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",0.06,-1.22184874961636,0.0481072024656951,-1.31778989749438
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.12,-0.920818753952375,0.0361225283145612,-1.44222185983599
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",0.12,-0.920818753952375,0.041593219002031,-1.38097746721091
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",0.12,-0.920818753952375,0.0385861653762055,-1.41356837868959
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.25,-0.602059991327962,0.0373037024917286,-1.42824806116915
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",0.25,-0.602059991327962,0.0397859453487728,-1.40027031826451
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",0.5,-0.301029995663981,0.0311644138009365,-1.50634103772475
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",0.5,-0.301029995663981,0.0381720109407179,-1.41825496036915
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",0.5,-0.301029995663981,0.0315245393429751,-1.50135125090129
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",1,0,0.047764372733282,-1.320895921263
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",1,0,0.0317562280776504,-1.49817108755303
"Growth rate (C C⁻¹ h⁻¹)",27,"R1",2,0.301029995663981,0.0209842470796143,-1.67810660877486
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",2,0.301029995663981,0.0325965842286363,-1.48682790693748
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",2,0.301029995663981,0.0455922582520217,-1.34110889601689
"Growth rate (C C⁻¹ h⁻¹)",27,"R2",4,0.602059991327962,0.015858747328049,-1.79973112029721
"Growth rate (C C⁻¹ h⁻¹)",27,"R3",4,0.602059991327962,0.0277674891108573,-1.55646338977084
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",0.06,-1.22184874961636,0.0383345609514697,-1.41640950638573
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",0.12,-0.920818753952375,0.0318518153197871,-1.49686581102408
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",0.12,-0.920818753952375,0.0413063156161928,-1.38398354089649
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",0.25,-0.602059991327962,0.0319965207567005,-1.49489724350246
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",0.25,-0.602059991327962,0.0414684503120573,-1.38228219404272
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",0.5,-0.301029995663981,0.0311911561169268,-1.50596852758667
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",0.5,-0.301029995663981,0.0397551038825907,-1.40060710736592
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",0.5,-0.301029995663981,0.029477958573919,-1.53050259580554
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",1,0,0.0307998394053045,-1.51145154796618
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",1,0,0.0286666065039109,-1.54262371493122
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",2,0.301029995663981,0.0273452314868608,-1.56311839582049
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",2,0.301029995663981,0.017687557174156,-1.75233214329388
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",2,0.301029995663981,0.0229641748873811,-1.63894915435209
"Growth rate (C C⁻¹ h⁻¹)",28,"R1",4,0.602059991327962,0.0182089443475353,-1.7397152314335
"Growth rate (C C⁻¹ h⁻¹)",28,"R2",4,0.602059991327962,0.0139417955737372,-1.85568128954161
"Growth rate (C C⁻¹ h⁻¹)",28,"R3",4,0.602059991327962,0.0184458128221386,-1.73410220265502
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.06,-1.22184874961636,0.0377020478412876,-1.42363505982028
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.06,-1.22184874961636,0.0477822992731427,-1.32073295593372
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.06,-1.22184874961636,0.046858595046398,-1.32921073692437
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.12,-0.920818753952375,0.0285004998649726,-1.54514752291445
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.12,-0.920818753952375,0.040599424601477,-1.39148012145173
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.12,-0.920818753952375,0.0671605473876386,-1.17288577283086
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.25,-0.602059991327962,0.039289129880931,-1.40572758921046
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.25,-0.602059991327962,0.0438399297848612,-1.35813015010014
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.25,-0.602059991327962,0.050830910176887,-1.29387211376256
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",0.5,-0.301029995663981,0.0365819946760447,-1.43673261779942
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",0.5,-0.301029995663981,0.0689828328378275,-1.16125897493565
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",0.5,-0.301029995663981,0.1467317404481,-0.833475931075405
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",1,0,0.132693081832004,-0.877151719189122
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",1,0,0.0505796947856559,-1.29602379565799
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",2,0.301029995663981,0.0444676645419738,-1.35195567925734
"Respiration rate (C C⁻¹ h⁻¹)",15,"R2",2,0.301029995663981,0.0731902086294544,-1.13554701487909
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",2,0.301029995663981,0.0579999968222807,-1.2365720302313
"Respiration rate (C C⁻¹ h⁻¹)",15,"R1",4,0.602059991327962,0.0437334853147665,-1.35918591042888
"Respiration rate (C C⁻¹ h⁻¹)",15,"R3",4,0.602059991327962,0.0660592356674198,-1.18006645558167
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.06,-1.22184874961636,0.0601917119855745,-1.2204633042028
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.06,-1.22184874961636,0.0727497375586304,-1.13816856903682
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.06,-1.22184874961636,0.0405280907318002,-1.39224385528063
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.12,-0.920818753952375,0.0407692492164542,-1.38966728619693
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.12,-0.920818753952375,0.0591370411806638,-1.22814040843784
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.12,-0.920818753952375,0.0575483384734942,-1.23996721073462
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.25,-0.602059991327962,0.0623490653993129,-1.20517005212872
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.25,-0.602059991327962,0.0654980938813951,-1.18377133861642
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.25,-0.602059991327962,0.0505041727446769,-1.29667273821556
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",0.5,-0.301029995663981,0.0498976115906395,-1.30192024190828
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",0.5,-0.301029995663981,0.0725459560381723,-1.13938679162399
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",0.5,-0.301029995663981,0.0533632492255113,-1.27275773460597
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",1,0,0.075398513101464,-1.12263721856254
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",1,0,0.0863436165773997,-1.06376976449706
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",1,0,0.0558718055856019,-1.25280729350125
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",2,0.301029995663981,0.0589822523288015,-1.22927864725907
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",2,0.301029995663981,0.0469427928679075,-1.32843107555893
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",2,0.301029995663981,0.0547801532674335,-1.26137675698334
"Respiration rate (C C⁻¹ h⁻¹)",18,"R1",4,0.602059991327962,0.0796740393727795,-1.09868316409667
"Respiration rate (C C⁻¹ h⁻¹)",18,"R2",4,0.602059991327962,0.0618890925866277,-1.2083858848546
"Respiration rate (C C⁻¹ h⁻¹)",18,"R3",4,0.602059991327962,0.0545189129676072,-1.2634528119877
"Respiration rate (C C⁻¹ h⁻¹)",21,"R1",0.06,-1.22184874961636,0.0716108049190148,-1.14502144469389
"Respiration rate (C C⁻¹ h⁻¹)",21,"R2",0.06,-1.22184874961636,0.053202233113,-1.27407013822564
"Respiration rate (C C⁻¹ h⁻¹)",21,"R3",0.06,-1.22184874961636,0.0563044854386905,-1.24945700614906
"Respiration rate (C C⁻¹ h⁻¹)",21,"R1",0.12,-0.920818753952375,0.0768997610074983,-1.1140750099162
"Respiration rate (C C⁻¹ h⁻¹)",21,"R2",0.12,-0.920818753952375,0.0715485577880923,-1.14539911593615
"Respiration rate (C C⁻¹ h⁻¹)",21,"R3",0.12,-0.920818753952375,0.0816784941911339,-1.08789227741612
"Respiration rate (C C⁻¹ h⁻¹)",21,"R1",0.25,-0.602059991327962,0.085859711389468,-1.06621057570019
"Respiration rate (C C⁻¹ h⁻¹)",21,"R2",0.25,-0.602059991327962,0.1569282088731,-0.804298982118819
"Respiration rate (C C⁻¹ h⁻¹)",21,"R3",0.25,-0.602059991327962,0.0634678168948397,-1.19744643987464
"Respiration rate (C C⁻¹ h⁻¹)",21,"R1",0.5,-0.301029995663981,0.0783634078478857,-1.10588668577901
"Respiration rate (C C⁻¹ h⁻¹)",21,"R2",0.5,-0.301029995663981,0.106645914356957,-0.972055777872465
"Respiration rate (C C⁻¹ h⁻¹)",21,"R3",0.5,-0.301029995663981,0.0684381528917225,-1.16470172034306
"Respiration rate (C C⁻¹ h⁻¹)",21,"R1",1,0,0.0768668842775656,-1.11426072226733
"Respiration rate (C C⁻¹ h⁻¹)",21,"R2",1,0,0.0393196754726421,-1.40539007530131
"Respiration rate (C C⁻¹ h⁻¹)",21,"R3",1,0,0.119723034475469,-0.921822284153509
"Respiration rate (C C⁻¹ h⁻¹)",21,"R1",2,0.301029995663981,0.100610471130724,-0.997356817315491
"Respiration rate (C C⁻¹ h⁻¹)",21,"R2",2,0.301029995663981,0.104038876371075,-0.982804346869062
"Respiration rate (C C⁻¹ h⁻¹)",21,"R3",2,0.301029995663981,0.0973830738661306,-1.0115165212049
"Respiration rate (C C⁻¹ h⁻¹)",21,"R1",4,0.602059991327962,0.115071316994998,-0.939032916363129
"Respiration rate (C C⁻¹ h⁻¹)",21,"R2",4,0.602059991327962,0.127411527072304,-0.894791279085195
"Respiration rate (C C⁻¹ h⁻¹)",21,"R3",4,0.602059991327962,0.102221652066793,-0.990457104424666
"Respiration rate (C C⁻¹ h⁻¹)",24,"R1",0.06,-1.22184874961636,0.0783947036411833,-1.10571327732968
"Respiration rate (C C⁻¹ h⁻¹)",24,"R2",0.06,-1.22184874961636,0.0348581757450941,-1.45769534483847
"Respiration rate (C C⁻¹ h⁻¹)",24,"R3",0.06,-1.22184874961636,0.0713652973463371,-1.14651292036266
"Respiration rate (C C⁻¹ h⁻¹)",24,"R1",0.12,-0.920818753952375,0.084072398980658,-1.0753465599434
"Respiration rate (C C⁻¹ h⁻¹)",24,"R2",0.12,-0.920818753952375,0.0938691829205325,-1.02747696241164
"Respiration rate (C C⁻¹ h⁻¹)",24,"R3",0.12,-0.920818753952375,0.0446815316466337,-1.34987194803897
"Respiration rate (C C⁻¹ h⁻¹)",24,"R1",0.25,-0.602059991327962,0.134882316942873,-0.870044982555762
"Respiration rate (C C⁻¹ h⁻¹)",24,"R2",0.25,-0.602059991327962,0.0694207192125494,-1.15851089126352
"Respiration rate (C C⁻¹ h⁻¹)",24,"R3",0.25,-0.602059991327962,0.0719888451541203,-1.14273479333714
"Respiration rate (C C⁻¹ h⁻¹)",24,"R1",0.5,-0.301029995663981,0.0893113746822611,-1.04909322591381
"Respiration rate (C C⁻¹ h⁻¹)",24,"R2",0.5,-0.301029995663981,0.103100140395846,-0.986740743318816
"Respiration rate (C C⁻¹ h⁻¹)",24,"R3",0.5,-0.301029995663981,0.108455601572754,-0.964748012397485
"Respiration rate (C C⁻¹ h⁻¹)",24,"R1",1,0,0.11612429417057,-0.935076912729266
"Respiration rate (C C⁻¹ h⁻¹)",24,"R2",1,0,0.087084644507219,-1.06005841667657
"Respiration rate (C C⁻¹ h⁻¹)",24,"R3",1,0,0.115173789639602,-0.938646343048402
"Respiration rate (C C⁻¹ h⁻¹)",24,"R1",2,0.301029995663981,0.180973130652051,-0.742385900687591
"Respiration rate (C C⁻¹ h⁻¹)",24,"R2",2,0.301029995663981,0.120066907057504,-0.920576676716635
"Respiration rate (C C⁻¹ h⁻¹)",24,"R3",2,0.301029995663981,0.146376225228647,-0.834529456682598
"Respiration rate (C C⁻¹ h⁻¹)",24,"R1",4,0.602059991327962,0.182288297818252,-0.739241210423926
"Respiration rate (C C⁻¹ h⁻¹)",24,"R2",4,0.602059991327962,0.168483090829006,-0.773443678935957
"Respiration rate (C C⁻¹ h⁻¹)",24,"R3",4,0.602059991327962,0.168089293735055,-0.774459947594808
"Respiration rate (C C⁻¹ h⁻¹)",26,"R1",0.06,-1.22184874961636,0.081469805047844,-1.08900332292769
"Respiration rate (C C⁻¹ h⁻¹)",26,"R2",0.06,-1.22184874961636,0.118258965980353,-0.927165922656295
"Respiration rate (C C⁻¹ h⁻¹)",26,"R1",0.12,-0.920818753952375,0.129768817506026,-0.886829652774497
"Respiration rate (C C⁻¹ h⁻¹)",26,"R2",0.12,-0.920818753952375,0.144569564611389,-0.839923126907163
"Respiration rate (C C⁻¹ h⁻¹)",26,"R3",0.12,-0.920818753952375,0.325552183231248,-0.48737938782406
"Respiration rate (C C⁻¹ h⁻¹)",26,"R1",0.25,-0.602059991327962,0.102189245770914,-0.990594806237495
"Respiration rate (C C⁻¹ h⁻¹)",26,"R2",0.25,-0.602059991327962,0.258412447504822,-0.587686570582305
"Respiration rate (C C⁻¹ h⁻¹)",26,"R3",0.25,-0.602059991327962,0.084816681969002,-1.07151872115642
"Respiration rate (C C⁻¹ h⁻¹)",26,"R1",0.5,-0.301029995663981,0.0979723975652103,-1.00889626383434
"Respiration rate (C C⁻¹ h⁻¹)",26,"R2",0.5,-0.301029995663981,0.32262111691358,-0.491307209610116
"Respiration rate (C C⁻¹ h⁻¹)",26,"R3",0.5,-0.301029995663981,0.155013331839682,-0.809630948956034
"Respiration rate (C C⁻¹ h⁻¹)",26,"R1",1,0,0.234749752031711,-0.629394857810803
"Respiration rate (C C⁻¹ h⁻¹)",26,"R2",1,0,0.257344878446069,-0.589484470447595
"Respiration rate (C C⁻¹ h⁻¹)",26,"R3",1,0,0.269589463187764,-0.569297086056736
"Respiration rate (C C⁻¹ h⁻¹)",26,"R1",2,0.301029995663981,0.177270440427085,-0.751363676297935
"Respiration rate (C C⁻¹ h⁻¹)",26,"R2",2,0.301029995663981,0.147973664470727,-0.829815571042617
"Respiration rate (C C⁻¹ h⁻¹)",26,"R3",2,0.301029995663981,0.335009190886467,-0.474943278048163
"Respiration rate (C C⁻¹ h⁻¹)",26,"R1",4,0.602059991327962,0.139367526279866,-0.855838408450393
"Respiration rate (C C⁻¹ h⁻¹)",26,"R2",4,0.602059991327962,0.125813007356088,-0.900274456418993
"Respiration rate (C C⁻¹ h⁻¹)",26,"R3",4,0.602059991327962,0.113621024724231,-0.944541298230104
"Respiration rate (C C⁻¹ h⁻¹)",27,"R1",0.06,-1.22184874961636,0.326233614062335,-0.486471292683621
