,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
P0AFG3,312.63060932831996,10,933,321.67017744,4.07,321.95,-3588.9026299180045,1000,predicted,Exp
P17109,308.43011759926,10,556,316.94898417,4.07,318.95,-4440.21108796368,1000,predicted,Exp
P37355,316.03371634999996,10,252,328.717325,7.588735,,-3190.215244961127,1000,predicted,Mean
P37353,313.86771635,10,451,328.717325,7.588735,,-3299.2646070498804,1000,predicted,Mean
P22255,314.59986300528004,10,246,328.75382376,4.07,331.35,-5218.15523545822,1000,predicted,Exp
P0A7J0,314.4799405121137,10,217,325.725325583143,4.07,,-4434.327134912474,1000,experimental,Exp
P77397,315.3117163499999,10,554,328.717325,7.588735,,-4707.219262572572,1000,predicted,Mean
P77589,317.716556284,10,403,328.717325,7.588735,,-5098.670843292102,1000,BullShit,Mean
P0AFQ5,317.716556284,10,128,328.717325,7.588735,,-3325.414624798307,1000,BullShit,Mean
P05194,313.95621853681996,10,252,329.03567819,4.07,329.95,-3508.082445460469,1000,predicted,Exp
P07639,310.1470325993074,10,362,325.722059709739,4.07,,-4670.158526266694,1000,predicted,Exp
P75728,317.3490937678505,10,391,327.815620749535,4.07,,-5087.9322393668435,1000,BullShit,Exp
P0ABZ4,312.74672689632,10,188,329.87923344,4.07,330.95,-3736.4017930491646,1000,predicted,Exp
P0AC75,313.4904271831704,10,425,329.957292025793,4.07,,-2432.928822734196,1000,predicted,Exp
P04951,315.73855717251996,10,248,327.65560134,4.07,331.75,-3775.725906735102,1000,predicted,Exp
P0A6Q6,321.6345399248764,10,151,341.072805485167,4.07,,-5703.854829133403,1000,predicted,Exp
P76083,312.42371634999995,10,475,328.717325,7.588735,,-4927.519529602241,1000,predicted,Mean
P0A6Q3,317.8037709410999,10,172,340.27867245,4.07,343.81666667,-4559.728284785317,1000,predicted,Exp
P0A6A6,313.14571635,10,466,328.717325,7.588735,,-2800.8610430136287,1000,predicted,Mean
P30126,313.8875025510208,10,201,326.191376082809,4.07,,-5079.2894636022675,1000,predicted,Exp
P30125,313.763302524,10,363,330.938858,4.07,342.05,-4625.457937716291,1000,predicted,Exp
P37678,315.3117163499999,10,220,328.717325,7.588735,,-4942.126930782981,1000,predicted,Mean
P39304,313.86771635,10,216,328.717325,7.588735,,-3991.887716545206,1000,predicted,Mean
P21151,312.42371634999995,10,387,328.717325,7.588735,,-2401.4678597794436,1000,predicted,Mean
P76503,312.42371634999995,10,436,328.717325,7.588735,,-4076.7674435535446,1000,predicted,Mean
P31142,315.8210496443,10,281,327.95233685,4.07,329.81666667,-1851.100717848558,1000,predicted,Exp
P31057,321.6638975206638,10,264,354.164019858503,4.07,,-4674.816462271032,1000,predicted,Exp
P0AAB4,318.8911548427146,10,497,344.190125333506,4.07,,-3919.4788384590347,1000,predicted,Exp
Q46890,312.42371634999995,10,212,328.717325,7.588735,,-2676.686084140277,1000,predicted,Mean
P0A953,312.32901953268,10,406,320.58532206,4.07,323.05,-3967.274527036185,1000,predicted,Exp
P0AAI5,317.33733668085995,10,413,338.60085137,4.07,341.77857143,-5011.674787410267,1000,predicted,Exp
P0AEK2,313.45587259450275,10,244,324.638750339938,4.07,,-4174.031499443178,1000,predicted,Exp
P0C7L2,313.86771635,10,401,328.717325,7.588735,,-5094.975891236082,1000,predicted,Mean
P0CI31,312.42371634999995,10,270,328.717325,7.588735,,-4487.985493032387,1000,predicted,Mean
P0ABR5,315.3117163499999,10,453,328.717325,7.588735,,-3160.336383943298,1000,predicted,Mean
P0ABW0,316.75571635,10,106,328.717325,7.588735,,-3921.8523741829044,1000,predicted,Mean
P77650,313.14571635,10,400,328.717325,7.588735,,-4879.007706646887,1000,predicted,Mean
Q47140,315.3117163499999,10,172,328.717325,7.588735,,-4807.933290094323,1000,predicted,Mean
P0A6D3,312.82554656952,10,427,324.96851284,4.07,329.95,-3701.225669834054,1000,predicted,Exp
P0A9V8,311.70171634999997,10,298,328.717325,7.588735,,-4547.784973482991,1000,predicted,Mean
P37623,312.42371634999995,10,195,328.717325,7.588735,,-3082.27124809665,1000,predicted,Mean
P15977,313.58055111930963,10,694,325.087234242121,4.07,,-3681.41959827265,1000,predicted,Exp
P22256,318.47393580275997,10,426,342.68933742,4.07,344.68333333,-3800.4261431014793,1000,predicted,Exp
P50457,312.584623002,10,421,321.504759,4.07,322.55,-3323.4849775026323,1000,predicted,Exp
P62615,310.24875910880513,10,283,326.087982405774,4.07,,-4196.124449668393,1000,predicted,Exp
P51020,313.86771635,10,337,328.717325,7.588735,,-4653.791133369918,1000,predicted,Mean
P62620,309.26460680202,10,372,317.35362159,4.07,327.95,-4844.7289880706485,1000,predicted,Exp
P62623,315.1818942982647,10,316,328.250339202391,4.07,,-4759.4330884320325,1000,predicted,Exp
P04036,317.95256975443993,10,273,340.81391998,4.07,346.35,-3985.9120905802165,1000,predicted,Exp
P0A6L2,315.86123057206,10,292,338.48536177,4.07,341.55,-5343.7997912831315,1000,predicted,Exp
P0AGK1,317.716556284,10,290,328.717325,7.588735,,-4380.020425806525,1000,BullShit,Mean
P19624,312.631513823375,10,329,326.867675623651,4.07,,-5848.043820653293,1000,predicted,Exp
P76491,313.3149346910802,10,199,329.326024068634,4.07,,-4380.2553708051,1000,predicted,Exp
P0AF12,312.75507874190004,10,232,329.90927605,4.07,329.88333333,-5203.178693333095,1000,predicted,Exp
P0A840,312.3209815299696,10,253,325.750652985502,4.07,,-2855.06534301287,1000,predicted,Exp
P0AEZ1,312.42371634999995,10,296,328.717325,7.588735,,-5283.181997016211,1000,predicted,Mean
P0AC28,317.47771635000004,10,182,328.717325,7.588735,,-3639.2864633478,1000,predicted,Mean
P23522,312.93299161107336,10,256,327.952128097386,4.07,,-5842.516909584475,1000,predicted,Exp
P0A9P9,313.14571635,10,254,328.717325,7.588735,,-3933.8665604192297,1000,predicted,Mean
P25665,311.07620785274,10,753,321.27304983,4.07,322.53,-4705.5674557796065,1000,predicted,Exp
P61714,316.03371634999996,10,156,328.717325,7.588735,,-4629.080283475286,1000,predicted,Mean
P65870,316.75571635,10,121,328.717325,7.588735,,-3714.8579354844096,1000,predicted,Mean
Q46829,316.98703156596,10,479,326.95227182,4.07,328.15,-2988.2934395147713,1000,predicted,Exp
P17411,314.58971635,10,450,328.717325,7.588735,,-5473.432867419033,1000,experimental,Mean
P00350,315.93966554945996,10,468,330.97613507,4.07,332.2125,-3599.355921950876,1000,predicted,Exp
P52697,316.9018020557,10,331,329.24281315,4.07,330.75,-3865.2775306848425,1000,predicted,Exp
P77756,316.2220777779716,10,231,326.797761791265,4.07,,-6076.307414391444,1000,predicted,Exp
P12998,314.58971635,10,384,328.717325,7.588735,,-837.82111594658,1000,predicted,Mean
P08337,319.71284953952,10,129,331.56312784,4.07,332.35,-4023.5070521432403,1000,predicted,Exp
P30860,319.03261234651353,10,243,331.94675193,4.07,333.81666667,-3156.937188043749,1000,BullShit,Exp
P45799,317.584650067768,10,186,328.39364465,4.07,329.35,-3742.531589679639,1000,BullShit,Exp
P67910,316.9055087002586,10,310,329.256146403808,4.07,,-5354.782263163307,1000,predicted,Exp
P37692,317.0577052895397,10,348,327.10059209251,4.07,,-3960.6564450811798,1000,BullShit,Exp
Q93K97,313.8042063663353,10,209,328.48887182135,4.07,,-4350.847098654209,1000,predicted,Exp
P0AE12,318.3600593923558,10,484,337.085465440129,4.07,,-3215.726583799968,1000,predicted,Exp
P60757,311.44191685612,10,299,319.99142754,4.07,320.95,-2231.208133555092,1000,predicted,Exp
P0A6E6,319.06017287825995,10,139,334.40961467,4.07,336.15,-4468.384165000744,1000,predicted,Exp
P0ABA6,321.3443736964,10,287,337.6195075,4.07,338.68333333,-3532.8982884307934,1000,BullShit,Exp
P0ABC0,317.716556284,10,126,328.717325,7.588735,,-4447.487283101887,1000,BullShit,Mean
P0AB98,320.9093906061407,10,271,336.552116720997,4.07,,-6789.42785513339,1000,BullShit,Exp
P0ABB0,315.70837251948,10,513,337.93551266,4.07,338.81666667,-4480.3526573518775,1000,predicted,Exp
P0ABA0,317.97039500721996,10,156,335.68379499,4.07,339.75,-4464.291843054155,1000,predicted,Exp
P0ABB4,317.37589954042,10,460,336.14244439,4.07,340.01666667,-3128.06232012159,1000,predicted,Exp
P68699,319.64371635,10,79,328.717325,7.588735,,-5790.150457725065,1000,predicted,Mean
P0ABA4,316.0876291076086,10,177,331.508378084923,4.07,,-5060.993353068419,1000,predicted,Exp
P06999,309.71472299263996,10,309,321.56986688,4.07,322.75,-4411.875710393671,1000,predicted,Exp
P0A796,315.81125667392,10,320,330.51423264,4.07,337.25,-1726.5423317183454,1000,predicted,Exp
P13000,315.3117163499999,10,225,328.717325,7.588735,,-6086.428510466436,1000,predicted,Mean
P60752,312.2201481734394,10,582,327.985065372084,4.07,,-4265.454937132615,1000,predicted,Exp
P77580,313.86771635,10,316,328.717325,7.588735,,-3826.541849644261,1000,predicted,Mean
P76458,316.03371634999996,10,220,328.717325,7.588735,,-4452.129170382732,1000,predicted,Mean
P76459,313.86771635,10,216,328.717325,7.588735,,-4418.490405561005,1000,predicted,Mean
P0A6A3,309.26343369822,10,400,314.75227949,4.07,320.95,-3988.8371534481303,1000,predicted,Exp
P00893,313.86771635,10,574,328.717325,7.588735,,-5225.643924233616,1000,predicted,Mean
P00894,312.42371634999995,10,163,328.717325,7.588735,,-3330.0271971019674,1000,predicted,Mean
P08142,313.86771635,10,562,328.717325,7.588735,,-3725.943933110492,1000,predicted,Mean
P0ADF8,316.69945166584887,10,96,325.917811747658,4.07,,-2849.805622804841,1000,predicted,Exp
P76461,313.86771635,10,394,328.717325,7.588735,,-3790.102233417515,1000,predicted,Mean
P0A9Q5,314.27217997566515,10,304,332.76935243045,4.07,,-3528.1114913257898,1000,predicted,Exp
P0ABD5,315.60159475386166,10,319,332.357175373603,4.07,,-4421.2508609773095,1000,predicted,Exp
P27550,312.61836945814,10,652,321.62614913,4.07,322.9,-4181.125718710611,1000,predicted,Exp
P0A6C8,313.86771635,10,258,328.717325,7.588735,,-3452.6274687876003,1000,predicted,Mean
P23908,309.7228782817,10,383,319.00208015,4.07,319.95,-3009.831526583276,1000,predicted,Exp
P18335,311.37882451148,10,406,319.76447666,4.07,321.8,-3465.16305938716,1000,predicted,Exp
P25516,311.32523521260003,10,891,322.1688317,4.07,330.43,-2954.4271770284986,1000,predicted,Exp
P36683,310.43010886727996,10,865,318.94895276,4.07,320.475,-3801.634199119921,1000,predicted,Exp
P0A6A8,313.31321878394,10,78,316.33424023,4.07,329.35,-3456.167015165881,1000,predicted,Exp
P21515,313.86771635,10,193,328.717325,7.588735,,-3311.808119125,1000,predicted,Mean
P0A8Z3,317.8309238904513,10,134,332.584978023206,4.07,,-4262.504641357301,1000,predicted,Exp
P0AGG2,305.73532525392,10,286,325.43534264,4.07,328.35,-3456.9291955473777,1000,experimental,Exp
P0A722,311.27403206654,10,262,332.37313693,4.07,334.81666667,-4114.846160599389,1000,experimental,Exp
Q47146,310.38139381280945,10,814,326.565085657588,4.07,,-2452.086080332323,1000,predicted,Exp
P0AB65,317.4353778336044,10,92,328.565028178433,4.07,,-4199.64967233204,1000,predicted,Exp
P31441,313.1916893659029,10,588,331.47981786296,4.07,,-4436.750160775018,1000,predicted,Exp
P31466,318.76564776478295,10,445,331.291656274006,4.07,,-3470.631807168861,1000,BullShit,Exp
P69503,314.55745306278,10,183,328.60127001,4.07,329.75,-2880.2623863845356,1000,predicted,Exp
P22333,312.00585662781816,10,333,324.617110172008,4.07,,-5132.596863701603,1000,predicted,Exp
P52086,316.75571635,10,203,328.717325,7.588735,,-3400.7725192713738,1000,predicted,Mean
P36561,315.3868313372,10,247,334.1817674,4.07,335.95,-2716.0784848892827,1000,predicted,Exp
P12995,312.42371634999995,10,429,328.717325,7.588735,,-2626.9700263990308,1000,predicted,Mean
P00936,321.80971635000003,10,848,328.717325,7.588735,,-2240.6384719888965,1000,experimental,Mean
P69441,313.85947513474,10,214,315.70206883,4.07,318.3,-1545.5843872255368,1000,predicted,Exp
P0AB89,304.62015112498,10,456,321.42392491,4.07,322.55,-4653.590774791018,1000,experimental,Exp
P0A7D4,313.17071847362,10,432,321.01589379,4.07,322.6,-4994.6638275719815,1000,predicted,Exp
P0A6J1,313.14571635,10,201,328.717325,7.588735,,-3204.299140937453,1000,predicted,Mean
P0A830,319.7374507109884,10,428,333.676331740745,4.07,,-4830.614504662017,1000,BullShit,Exp
P13035,314.27173918342106,10,501,330.17064454468,4.07,,-4014.5609495010353,1000,predicted,Exp
P60651,320.4139018939026,10,306,349.66763271188,4.07,,-4191.755441820822,1000,predicted,Exp
P0A6B4,317.7722492527948,10,359,324.582551269046,4.07,,-2864.925767018927,1000,predicted,Exp
P29012,313.9152014154199,10,356,331.48525689,4.07,331.75,-4522.114533669763,1000,predicted,Exp
P00957,312.77259974471997,10,876,329.97230124,4.07,332.21,-4968.697272043655,1000,predicted,Exp
P39451,320.38691418117673,10,336,336.584943097758,4.07,,-5609.3220886436375,1000,predicted,Exp
P37685,318.39919846587264,10,512,330.392438324187,4.07,,-3641.167469849621,1000,BullShit,Exp
P0A9C3,313.44915550689996,10,346,319.42034355,4.07,321.75,-4032.000415120626,1000,predicted,Exp
P75804,317.716556284,10,371,328.717325,7.588735,,-4732.105669653378,1000,BullShit,Mean
P0AAI1,317.716556284,10,255,328.717325,7.588735,,-3337.218657183476,1000,BullShit,Mean
P00634,315.5141466092,10,471,329.4454914,4.07,336.15,-2414.3132636949294,1000,predicted,Exp
P80645,312.42371634999995,10,381,328.717325,7.588735,,-5017.399210909542,1000,predicted,Mean
P77425,306.64771635,10,411,328.717325,7.588735,,-5323.2700993774915,1000,experimental,Mean
P77671,313.14571635,10,453,328.717325,7.588735,,-5253.8906822772315,1000,predicted,Mean
P06720,314.94672259794004,10,451,322.21015323,4.07,326.15,-3964.3656609372806,1000,predicted,Exp
P0AEX3,322.51430968622276,10,432,340.490375162502,4.07,,-3635.441280890603,1000,BullShit,Exp
P37610,314.29429716963995,10,283,330.25178838,4.07,331.35,-4085.6108693962824,1000,predicted,Exp
P42604,313.14571635,10,495,328.717325,7.588735,,-4092.8816673846495,1000,predicted,Mean
P0A6L7,313.14571635,10,483,328.717325,7.588735,,-3771.673311336906,1000,predicted,Mean
P0AG16,313.6159156272,10,505,322.6173224,4.07,324.55,-2929.822127298894,1000,predicted,Exp
P0A6C5,313.14571635,10,443,328.717325,7.588735,,-4213.290513203978,1000,predicted,Mean
P28305,311.19368104337156,10,269,326.889859868243,4.07,,-3696.3072864363858,1000,predicted,Exp
P00903,311.19011175242,10,187,324.27989839,4.07,328.15,-5056.849359269452,1000,predicted,Exp
P05041,311.5518570401007,10,453,325.581140432017,4.07,,-5532.766615082182,1000,predicted,Exp
P27248,311.22422361791996,10,364,321.80548064,4.07,323.35,-3422.568922971841,1000,predicted,Exp
P04825,312.03685920116,10,870,324.72863022,4.07,327.39,-2482.2206700813313,1000,predicted,Exp
P69681,317.716556284,10,428,328.717325,7.588735,,-1664.8547414193695,1000,BullShit,Mean
P0ABN9,317.716556284,10,446,328.717325,7.588735,,-6196.802238524178,1000,BullShit,Mean
P0ABP3,317.96421984668154,10,461,329.325058516592,4.07,,-2225.2340161622824,1000,BullShit,Exp
P18776,320.86429311640893,10,205,336.441453465864,4.07,,-5308.493881912031,1000,BullShit,Exp
P18777,317.716556284,10,287,328.717325,7.588735,,-3800.9857134489553,1000,BullShit,Mean
P76173,317.716556284,10,284,328.717325,7.588735,,-2809.7145714572252,1000,BullShit,Mean
P0A996,320.44401443973163,10,396,335.41014536644,4.07,,-5794.622633289271,1000,BullShit,Exp
P0A9C0,310.83453977536686,10,542,325.597984803478,4.07,,-4446.687272443007,1000,predicted,Exp
P13033,314.90840675532246,10,419,327.266571062311,4.07,,-4308.331060625178,1000,predicted,Exp
Q46877,317.716556284,10,479,328.717325,7.588735,,-5402.278858760045,1000,BullShit,Mean
P0A9N8,317.716556284,10,154,328.717325,7.588735,,-4594.248966789164,1000,BullShit,Mean
P28903,313.0423781558668,10,712,323.151360272902,4.07,,-4102.734326761508,1000,predicted,Exp
P77570,312.42371634999995,10,369,328.717325,7.588735,,-5306.933334908267,1000,predicted,Mean
P0AE16,317.716556284,10,491,328.717325,7.588735,,-3485.1402893911295,1000,BullShit,Mean
P00895,309.9008660998,10,520,319.6423241,4.07,321.15,-5217.464598369083,1000,predicted,Exp
P0A6G5,313.86771635,10,183,328.717325,7.588735,,-3000.965786337348,1000,predicted,Mean
P23930,317.77752363509126,10,512,328.866930788897,4.07,,-4614.0262016339275,1000,BullShit,Exp
P60844,317.716556284,10,231,328.717325,7.588735,,-3448.7218093979577,1000,BullShit,Mean
P17115,310.8551561843,10,321,328.26926685,4.07,332.95,-4688.999393702272,1000,predicted,Exp
P45395,311.06905670682,10,328,329.03869319,4.07,329.55,-5941.056125345639,1000,predicted,Exp
P0AAF3,313.14571635,10,504,328.717325,7.588735,,-5861.486934230063,1000,predicted,Mean
P0AE24,317.716556284,10,472,328.717325,7.588735,,-3702.4695006046163,1000,BullShit,Mean
P0AE30,317.716556284,10,222,328.717325,7.588735,,-3246.5346964870205,1000,BullShit,Mean
P0AE34,317.2653890192288,10,238,327.610220404468,4.07,,-3790.7629874115128,1000,BullShit,Exp
P0AE37,312.42371634999995,10,344,328.717325,7.588735,,-3550.9521917890515,1000,predicted,Mean
P11667,317.716556284,10,211,328.717325,7.588735,,-2471.1791301786934,1000,BullShit,Mean
P0AAF6,316.65071108785963,10,242,326.101882331811,4.07,,-2310.5136018463554,1000,BullShit,Exp
P11875,312.52959632418,10,577,321.30682131,4.07,323.48333333,-3730.899241560868,1000,predicted,Exp
P60061,317.716556284,10,445,328.717325,7.588735,,-6164.749564138072,1000,BullShit,Mean
P11447,316.29177835063996,10,457,332.24272788,4.07,333.31666667,-4191.843387896824,1000,predicted,Exp
P0A6E4,313.5886150971,10,447,317.32487445,4.07,318.25,-4667.954291138288,1000,predicted,Exp
P46136,317.716556284,10,293,328.717325,7.588735,,-4843.45125932817,1000,BullShit,Mean
P15993,317.716556284,10,457,328.717325,7.588735,,-4996.582365483569,1000,BullShit,Mean
P04693,311.9204180697784,10,397,326.906899531577,4.07,,-3470.9464837158853,1000,predicted,Exp
P0AB96,316.03371634999996,10,141,328.717325,7.588735,,-6031.362228376119,1000,predicted,Mean
P0AB93,317.716556284,10,429,328.717325,7.588735,,-2841.5908552641513,1000,BullShit,Mean
P77567,314.58971635,10,281,328.717325,7.588735,,-6014.099200549845,1000,predicted,Mean
P39301,315.3117163499999,10,465,328.717325,7.588735,,-5286.201511973893,1000,predicted,Mean
P69820,317.716556284,10,154,328.717325,7.588735,,-3651.9825141220854,1000,BullShit,Mean
P69822,313.86771635,10,101,328.717325,7.588735,,-3317.7356353244318,1000,predicted,Mean
P22106,314.27717849081995,10,554,319.80172119,4.07,319.75,-2491.8833230242326,1000,predicted,Exp
P0A8M0,314.55238908368,10,466,331.18017656,4.07,332.32142857,-3371.015876038554,1000,predicted,Exp
P0A790,316.03371634999996,10,126,328.717325,7.588735,,-3649.7695971108105,1000,predicted,Mean
P00509,315.00642402624,10,396,335.41051808,4.07,338.58333333,-4069.021292275701,1000,predicted,Exp
P0AC38,313.05622292142,10,478,325.79828389,4.07,327.65,-3294.242518623135,1000,predicted,Exp
P0A786,307.56251972992,10,311,332.00798464,4.07,338.25,-1666.9775513275827,1000,experimental,Exp
P0A7F3,321.1343201368288,10,153,337.10406394,4.07,338.81666667,-4537.719046728997,1000,BullShit,Exp
P00963,311.4816830004199,10,330,320.134471224532,4.07,,-3202.1866760045905,1000,predicted,Exp
P21889,315.02136435287997,10,590,332.86713796,4.07,333.08333333,-3543.1668336871635,1000,predicted,Exp
P0A9Q9,313.51241903816,10,367,332.63352172,4.07,333.05,-2528.2354652731306,1000,predicted,Exp
P68066,317.716556284,10,127,328.717325,7.588735,,-3088.822362742197,1000,BullShit,Mean
P37749,314.19768727677837,10,330,320.082487428294,4.07,,-2039.180139085366,1000,BullShit,Exp
P00722,314.58971635,10,1024,328.717325,7.588735,,-4872.003275941768,1000,predicted,Mean
P75949,313.11554862963754,10,341,328.608808020279,4.07,,-4187.123213906421,1000,predicted,Exp
P0A6R0,312.40617486376,10,317,318.26573692,4.07,317.95,-2358.0201161481336,1000,experimental,Exp
P17445,312.4611636014897,10,490,326.25490504133,4.07,,-3493.6298401205795,1000,predicted,Exp
P0AG24,311.8818758218758,10,702,324.171136049913,4.07,,-3409.0241384116953,1000,predicted,Exp
P0AE76,315.3117163499999,10,181,328.717325,7.588735,,-3127.7403816551496,1000,predicted,Mean
P0A9Q7,316.62814914208,10,891,338.64693936,4.07,341.5,-4240.089802812054,1000,predicted,Exp
P00561,308.87262920829994,10,820,321.13787485,4.07,323.55,-4870.989293176302,1000,predicted,Exp
P00562,308.42323632086,10,810,316.92423137,4.07,317.95,-5294.44068638561,1000,predicted,Exp
P0A9J8,307.31260526454,10,386,315.52627793,4.07,316.75,-2152.7044099716422,1000,predicted,Exp
P0AES0,314.69162231298003,10,619,326.48677091,4.07,327.7,-3600.688068581524,1000,experimental,Exp
P76108,321.12427348106564,10,381,337.07941078,4.07,338.9,-4251.671452547742,1000,BullShit,Exp
P77398,313.14571635,10,660,328.717325,7.588735,,-4958.140209974491,1000,predicted,Mean
P31119,312.8154119619867,10,719,330.126302021535,4.07,,-2799.775768100143,1000,predicted,Exp
P24186,313.92227498581997,10,288,334.10782369,4.07,338.95,-2465.3704278072055,1000,predicted,Exp
P0ACC7,310.98404320556,10,456,318.34440002,4.07,320.15,-4899.955108001585,1000,predicted,Exp
P76658,309.69350071727854,10,477,324.090650062153,4.07,,-3765.1078232441837,1000,predicted,Exp
P77455,310.97971635,10,681,328.717325,7.588735,,-4001.5454838135993,1000,predicted,Mean
P09546,305.2066577982708,10,1320,323.533661144859,4.07,,-3906.7137268921783,1000,experimental,Exp
P00904,311.70171634999997,10,531,328.717325,7.588735,,-2972.839631993498,1000,predicted,Mean
P15639,312.51646992807997,10,529,323.85672636,4.07,325.15,-3100.9234069461513,1000,predicted,Exp
P0AG40,310.66110950864396,10,313,327.571257225338,4.07,,-4172.01835943444,1000,predicted,Exp
P28629,315.3117163499999,10,755,328.717325,7.588735,,-3910.7320571094097,1000,experimental,Mean
P0ABU7,320.20287568099786,10,244,334.818422852861,4.07,,-3588.4243332505976,1000,BullShit,Exp
P0ABV2,319.0259036553588,10,141,331.930289692184,4.07,,-4949.568130284435,1000,BullShit,Exp
P21170,313.94076049754,10,658,326.38295143,4.07,328.55,-4051.937322543521,1000,predicted,Exp
P0ABD8,316.75571635,10,156,328.717325,7.588735,,-3822.169232781774,1000,predicted,Mean
P24182,312.62526966338004,10,449,319.05384771,4.07,319.55,-4169.255172003689,1000,predicted,Exp
P20099,310.47154945157996,10,777,319.09801961,4.07,324.55,-3416.296578786713,1000,predicted,Exp
P12996,314.96317633155996,10,346,319.67221702,4.07,321.05,-4820.876356150404,1000,predicted,Exp
