protein_id,Topt,Topt_std,Length,Tm,Tm_std,T90,dCpt,dCpt_std,topt_source,TmTag
Mycgr3G101589,297.6576576802057,10.0,292,311.756,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101590,297.5356576802057,10.0,546,311.512,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101655,296.5206576802057,10.0,1907,309.48199999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101664,296.1026576802057,10.0,318,308.64599999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101727,296.7711576802057,10.0,364,309.98299999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101785,296.4871576802057,10.0,420,309.41499999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101786,296.6441576802057,10.0,916,309.729,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101794,296.2281076802057,10.0,301,308.89689999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101803,296.7721576802057,10.0,470,309.98499999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101849,295.9302076802057,10.0,559,308.30109999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G101851,296.5631576802057,10.0,301,309.567,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102012,298.3501576802057,10.0,193,313.14099999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102064,297.4006576802057,10.0,383,311.24199999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102083,296.3184076802057,10.0,537,309.0775,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102127,298.1256576802057,10.0,403,312.692,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102184,308.58925349705135,10.0,212,333.61919163369134,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102191,297.0056576802057,10.0,221,310.452,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102306,296.5916576802057,10.0,553,309.62399999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102318,296.6756576802057,10.0,685,309.792,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102499,296.1078576802057,10.0,322,308.65639999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102581,296.4811576802057,10.0,635,309.40299999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102589,296.4971576802057,10.0,169,309.43499999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G102990,296.8601576802057,10.0,418,310.161,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103034,296.87615768020567,10.0,550,310.193,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103124,296.7881576802057,10.0,474,310.017,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103221,297.5521576802057,10.0,365,311.54499999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103255,295.9992576802057,10.0,376,308.43919999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103402,297.0301576802057,10.0,274,310.501,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103492,296.5631576802057,10.0,325,309.567,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103593,298.1726576802057,10.0,154,312.786,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103611,298.4065249001227,10.0,161,313.25373443983403,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103679,296.13360768020567,10.0,485,308.7079,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103866,298.2236576802057,10.0,298,312.888,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G103868,296.40965768020567,10.0,226,309.26,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G104147,296.9466576802057,10.0,888,310.33399999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G104260,295.9674576802057,10.0,414,308.37559999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G104351,297.8861576802057,10.0,293,312.21299999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G104476,296.6266576802057,10.0,335,309.69399999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G104491,296.6166576802057,10.0,356,309.674,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G104498,296.6971576802057,10.0,397,309.835,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G104970,297.90965768020567,10.0,230,312.26,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105053,297.7561576802057,10.0,378,311.953,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105188,298.2831576802057,10.0,436,313.00699999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G10540,300.2127657883138,10.0,572,316.8662162162162,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105489,296.1287076802057,10.0,412,308.69809999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105501,307.25470280655946,10.0,334,330.9500902527076,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105601,296.3022576802057,10.0,624,309.04519999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105609,296.5166576802057,10.0,474,309.474,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105791,297.9351576802057,10.0,497,312.311,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105844,297.2011576802057,10.0,394,310.84299999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105887,297.0326576802057,10.0,223,310.506,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105957,296.9876576802057,10.0,494,310.416,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105971,297.2616576802057,10.0,343,310.964,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G105999,296.65015768020567,10.0,310,309.741,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106055,296.1629576802057,10.0,782,308.7666,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106070,296.4811576802057,10.0,509,309.40299999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106278,296.9526576802057,10.0,357,310.346,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106395,296.4681576802057,10.0,771,309.37699999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106396,297.3701576802057,10.0,384,311.181,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106397,310.5271928914733,10.0,192,337.4950704225352,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106420,296.2134576802057,10.0,246,308.8676,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106471,297.2986576802057,10.0,294,311.03799999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106539,296.6136576802057,10.0,310,309.668,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106783,296.3846576802057,10.0,553,309.21,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106864,296.35395768020567,10.0,514,309.1486,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G106868,296.6616576802057,10.0,833,309.76399999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107052,296.1118576802057,10.0,488,308.6644,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107161,296.3179576802057,10.0,471,309.0766,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107202,296.2185576802057,10.0,287,308.8778,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107212,296.0865576802057,10.0,1073,308.61379999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107360,298.0486576802057,10.0,291,312.53799999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107389,296.62615768020567,10.0,650,309.693,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107391,296.0068576802057,10.0,664,308.45439999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107427,296.6731576802057,10.0,534,309.787,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107492,297.6641576802057,10.0,332,311.769,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107551,297.2471576802057,10.0,475,310.93499999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107618,296.6921576802057,10.0,728,309.825,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107644,296.3140076802057,10.0,668,309.0687,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107675,296.36165768020567,10.0,437,309.164,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107711,296.0232576802057,10.0,309,308.4872,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107730,297.3261576802057,10.0,789,311.09299999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107763,296.22690768020567,10.0,418,308.8945,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107785,296.6486576802057,10.0,573,309.738,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107825,296.9756576802057,10.0,477,310.392,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107974,296.7161576802057,10.0,578,309.873,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107981,296.9671576802057,10.0,469,310.375,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G107996,296.4461576802057,10.0,1243,309.33299999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108040,296.7766576802057,10.0,591,309.99399999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108107,297.4641576802057,10.0,439,311.36899999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108173,296.0147076802057,10.0,1069,308.4701,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108197,295.9632576802057,10.0,401,308.36719999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108223,296.2899576802057,10.0,746,309.0206,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108301,297.0761576802057,10.0,345,310.59299999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108403,295.96400768020567,10.0,1859,308.3687,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108426,296.4741576802057,10.0,462,309.38899999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108472,295.9828076802057,10.0,756,308.4063,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108572,297.5356576802057,10.0,364,311.512,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108597,297.0061576802057,10.0,498,310.453,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108617,296.5416576802057,10.0,559,309.524,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108706,297.2716576802057,10.0,558,310.984,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G108985,296.3477576802057,10.0,1043,309.1362,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109040,296.7256576802057,10.0,658,309.892,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109091,296.37365768020567,10.0,625,309.188,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109139,296.9836576802057,10.0,297,310.40799999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109241,299.4339528343907,10.0,489,315.30859030837,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109450,296.76065768020567,10.0,263,309.962,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109456,297.79415768020567,10.0,424,312.029,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109480,297.6126576802057,10.0,550,311.666,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109520,296.0893576802057,10.0,1089,308.6194,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109524,296.3076576802057,10.0,480,309.056,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109538,296.3966576802057,10.0,775,309.234,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109611,296.5316576802057,10.0,1169,309.50399999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109629,296.0216076802057,10.0,819,308.48389999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109648,297.1711576802057,10.0,639,310.78299999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109721,296.0769576802057,10.0,939,308.59459999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109769,295.9751076802057,10.0,1205,308.3909,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109902,296.2268576802057,10.0,600,308.89439999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109911,296.4906576802057,10.0,643,309.42199999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109954,296.2207076802057,10.0,577,308.8821,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G109986,297.2646576802057,10.0,493,310.96999999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110027,296.4291576802057,10.0,650,309.299,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110044,297.6246576802057,10.0,584,311.69,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110076,296.4556576802057,10.0,698,309.352,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110081,296.7811576802057,10.0,269,310.003,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110147,296.1679576802057,10.0,1014,308.7766,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110230,296.2807076802057,10.0,490,309.0021,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110231,296.07700768020567,10.0,544,308.5947,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110308,296.5581576802057,10.0,594,309.55699999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110450,296.1203576802057,10.0,982,308.6814,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110462,296.9901576802057,10.0,448,310.421,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110557,297.0401576802057,10.0,199,310.52099999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110613,297.9621576802057,10.0,249,312.365,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110629,296.87615768020567,10.0,769,310.193,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110636,296.1461076802057,10.0,523,308.7329,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110683,297.0696576802057,10.0,298,310.58,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110798,295.9515576802057,10.0,1837,308.3438,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110829,295.9502076802057,10.0,1303,308.3411,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110909,295.9205076802057,10.0,1540,308.2817,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110933,295.9978076802057,10.0,829,308.43629999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110945,296.8366576802057,10.0,548,310.114,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110972,296.1040076802057,10.0,415,308.64869999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G110994,297.4256576802057,10.0,473,311.292,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111064,296.9926576802057,10.0,236,310.426,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111234,296.3418576802057,10.0,293,309.1244,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111248,297.3371576802057,10.0,241,311.115,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111308,295.9904076802057,10.0,791,308.4215,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111309,297.8576576802057,10.0,472,312.15599999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111324,308.02075357061665,10.0,350,332.4821917808219,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111377,296.2867076802057,10.0,263,309.0141,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111451,296.5701576802057,10.0,553,309.58099999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111611,296.3991576802057,10.0,683,309.239,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G111641,298.2141576802057,10.0,409,312.86899999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G12562,297.5906576802057,10.0,476,311.62199999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G14095,296.1873576802057,10.0,403,308.81539999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G15902,297.14765768020567,10.0,242,310.736,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G17404,296.52015768020567,10.0,230,309.481,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G17882,296.0253076802057,10.0,229,308.49129999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G19099,297.8481576802057,10.0,140,312.137,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G19563,304.01941033038236,10.0,81,324.4795053003533,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G20064,296.3349576802057,10.0,1125,309.1106,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G21233,297.5246576802057,10.0,745,311.49,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G21242,296.0503076802057,10.0,672,308.5413,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G22156,296.1004076802057,10.0,492,308.64149999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G22400,297.72715768020566,10.0,337,311.895,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G23438,297.5366576802057,10.0,412,311.51399999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G23705,296.9801576802057,10.0,440,310.40099999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G24521,297.6146576802057,10.0,339,311.66999999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G24612,297.1146576802057,10.0,344,310.66999999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G25082,296.6421576802057,10.0,387,309.72499999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G25320,297.3046576802057,10.0,311,311.04999999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G26090,297.25815768020567,10.0,242,310.957,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G27012,297.4741576802057,10.0,265,311.38899999999995,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G28514,296.5961576802057,10.0,152,309.633,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G29244,296.4371576802057,10.0,95,309.315,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G30112,306.1769285354701,10.0,272,328.79454171052873,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G30146,296.5796576802057,10.0,333,309.59999999999997,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G31400,296.5116576802057,10.0,58,309.464,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G31477,296.8886576802057,10.0,413,310.21799999999996,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
Mycgr3G31514,299.2882241137721,10.0,332,315.01713286713283,5.0,,-4000.0,1000.0,temstapro_pseudoTm,TemStaPro
