transcript_id,gene_id
Mycgr3T101366,Mycgr3G101366
Mycgr3T101384,Mycgr3G101384
Mycgr3T101387,Mycgr3G101387
Mycgr3T101398,Mycgr3G101398
Mycgr3T101405,Mycgr3G101405
Mycgr3T101408,Mycgr3G101408
Mycgr3T101410,Mycgr3G101410
Mycgr3T101413,Mycgr3G101413
Mycgr3T101415,Mycgr3G101415
Mycgr3T101417,Mycgr3G101417
Mycgr3T101428,Mycgr3G101428
Mycgr3T101429,Mycgr3G101429
Mycgr3T101434,Mycgr3G101434
Mycgr3T101437,Mycgr3G101437
Mycgr3T101446,Mycgr3G101446
Mycgr3T101448,Mycgr3G101448
Mycgr3T101457,Mycgr3G101457
Mycgr3T101461,Mycgr3G101461
Mycgr3T101464,Mycgr3G101464
Mycgr3T101466,Mycgr3G101466
Mycgr3T101477,Mycgr3G101477
Mycgr3T101478,Mycgr3G101478
Mycgr3T101482,Mycgr3G101482
Mycgr3T101485,Mycgr3G101485
Mycgr3T101489,Mycgr3G101489
Mycgr3T101493,Mycgr3G101493
Mycgr3T101499,Mycgr3G101499
Mycgr3T101503,Mycgr3G101503
Mycgr3T101514,Mycgr3G101514
Mycgr3T101520,Mycgr3G101520
Mycgr3T101535,Mycgr3G101535
Mycgr3T101539,Mycgr3G101539
Mycgr3T101551,Mycgr3G101551
Mycgr3T101554,Mycgr3G101554
Mycgr3T101572,Mycgr3G101572
Mycgr3T101579,Mycgr3G101579
Mycgr3T101587,Mycgr3G101587
Mycgr3T101589,Mycgr3G101589
Mycgr3T101590,Mycgr3G101590
Mycgr3T101591,Mycgr3G101591
Mycgr3T101592,Mycgr3G101592
Mycgr3T101603,Mycgr3G101603
Mycgr3T101607,Mycgr3G101607
Mycgr3T101609,Mycgr3G101609
Mycgr3T101642,Mycgr3G101642
Mycgr3T10165,Mycgr3G10165
Mycgr3T101652,Mycgr3G101652
Mycgr3T101655,Mycgr3G101655
Mycgr3T101662,Mycgr3G101662
Mycgr3T101664,Mycgr3G101664
Mycgr3T101665,Mycgr3G101665
Mycgr3T101670,Mycgr3G101670
Mycgr3T101672,Mycgr3G101672
Mycgr3T101681,Mycgr3G101681
Mycgr3T101693,Mycgr3G101693
Mycgr3T101694,Mycgr3G101694
Mycgr3T101702,Mycgr3G101702
Mycgr3T101708,Mycgr3G101708
Mycgr3T101712,Mycgr3G101712
Mycgr3T101715,Mycgr3G101715
Mycgr3T101727,Mycgr3G101727
Mycgr3T10173,Mycgr3G10173
Mycgr3T101742,Mycgr3G101742
Mycgr3T101763,Mycgr3G101763
Mycgr3T101770,Mycgr3G101770
Mycgr3T101774,Mycgr3G101774
Mycgr3T101775,Mycgr3G101775
Mycgr3T101782,Mycgr3G101782
Mycgr3T101785,Mycgr3G101785
Mycgr3T101786,Mycgr3G101786
Mycgr3T101788,Mycgr3G101788
Mycgr3T101791,Mycgr3G101791
Mycgr3T101794,Mycgr3G101794
Mycgr3T101803,Mycgr3G101803
Mycgr3T101835,Mycgr3G101835
Mycgr3T101837,Mycgr3G101837
Mycgr3T10184,Mycgr3G10184
Mycgr3T101849,Mycgr3G101849
Mycgr3T101850,Mycgr3G101850
Mycgr3T101851,Mycgr3G101851
Mycgr3T101857,Mycgr3G101857
Mycgr3T101861,Mycgr3G101861
Mycgr3T101867,Mycgr3G101867
Mycgr3T101874,Mycgr3G101874
Mycgr3T101876,Mycgr3G101876
Mycgr3T101885,Mycgr3G101885
Mycgr3T101890,Mycgr3G101890
Mycgr3T101893,Mycgr3G101893
Mycgr3T101897,Mycgr3G101897
Mycgr3T101913,Mycgr3G101913
Mycgr3T101921,Mycgr3G101921
Mycgr3T101925,Mycgr3G101925
Mycgr3T101931,Mycgr3G101931
Mycgr3T101933,Mycgr3G101933
Mycgr3T101983,Mycgr3G101983
Mycgr3T101989,Mycgr3G101989
Mycgr3T101995,Mycgr3G101995
Mycgr3T101997,Mycgr3G101997
Mycgr3T102005,Mycgr3G102005
Mycgr3T102012,Mycgr3G102012
Mycgr3T102016,Mycgr3G102016
Mycgr3T102019,Mycgr3G102019
Mycgr3T102020,Mycgr3G102020
Mycgr3T102025,Mycgr3G102025
Mycgr3T102027,Mycgr3G102027
Mycgr3T102031,Mycgr3G102031
Mycgr3T102033,Mycgr3G102033
Mycgr3T102037,Mycgr3G102037
Mycgr3T102047,Mycgr3G102047
Mycgr3T102049,Mycgr3G102049
Mycgr3T102052,Mycgr3G102052
Mycgr3T102063,Mycgr3G102063
Mycgr3T102064,Mycgr3G102064
Mycgr3T102067,Mycgr3G102067
Mycgr3T102068,Mycgr3G102068
Mycgr3T102072,Mycgr3G102072
Mycgr3T102079,Mycgr3G102079
Mycgr3T102083,Mycgr3G102083
Mycgr3T102085,Mycgr3G102085
Mycgr3T102108,Mycgr3G102108
Mycgr3T102119,Mycgr3G102119
Mycgr3T102121,Mycgr3G102121
Mycgr3T102125,Mycgr3G102125
Mycgr3T102127,Mycgr3G102127
Mycgr3T102131,Mycgr3G102131
Mycgr3T102133,Mycgr3G102133
Mycgr3T102134,Mycgr3G102134
Mycgr3T102136,Mycgr3G102136
Mycgr3T102139,Mycgr3G102139
Mycgr3T102145,Mycgr3G102145
Mycgr3T102147,Mycgr3G102147
Mycgr3T102151,Mycgr3G102151
Mycgr3T102155,Mycgr3G102155
Mycgr3T102157,Mycgr3G102157
Mycgr3T102163,Mycgr3G102163
Mycgr3T102165,Mycgr3G102165
Mycgr3T102170,Mycgr3G102170
Mycgr3T102173,Mycgr3G102173
Mycgr3T102176,Mycgr3G102176
Mycgr3T102177,Mycgr3G102177
Mycgr3T102184,Mycgr3G102184
Mycgr3T102189,Mycgr3G102189
Mycgr3T102191,Mycgr3G102191
Mycgr3T102197,Mycgr3G102197
Mycgr3T102202,Mycgr3G102202
Mycgr3T102204,Mycgr3G102204
Mycgr3T102206,Mycgr3G102206
Mycgr3T102207,Mycgr3G102207
Mycgr3T102217,Mycgr3G102217
Mycgr3T102223,Mycgr3G102223
Mycgr3T102228,Mycgr3G102228
Mycgr3T102248,Mycgr3G102248
Mycgr3T102252,Mycgr3G102252
Mycgr3T102254,Mycgr3G102254
Mycgr3T102256,Mycgr3G102256
Mycgr3T102270,Mycgr3G102270
Mycgr3T102272,Mycgr3G102272
Mycgr3T102274,Mycgr3G102274
Mycgr3T102276,Mycgr3G102276
Mycgr3T102281,Mycgr3G102281
Mycgr3T102294,Mycgr3G102294
Mycgr3T102303,Mycgr3G102303
Mycgr3T102306,Mycgr3G102306
Mycgr3T102314,Mycgr3G102314
Mycgr3T102318,Mycgr3G102318
Mycgr3T102326,Mycgr3G102326
Mycgr3T102341,Mycgr3G102341
Mycgr3T102345,Mycgr3G102345
Mycgr3T102352,Mycgr3G102352
Mycgr3T102358,Mycgr3G102358
Mycgr3T102360,Mycgr3G102360
Mycgr3T102365,Mycgr3G102365
Mycgr3T102369,Mycgr3G102369
Mycgr3T102375,Mycgr3G102375
Mycgr3T102377,Mycgr3G102377
Mycgr3T102381,Mycgr3G102381
Mycgr3T102384,Mycgr3G102384
Mycgr3T102387,Mycgr3G102387
Mycgr3T102388,Mycgr3G102388
Mycgr3T102398,Mycgr3G102398
Mycgr3T102406,Mycgr3G102406
Mycgr3T102408,Mycgr3G102408
Mycgr3T102412,Mycgr3G102412
Mycgr3T102416,Mycgr3G102416
Mycgr3T102427,Mycgr3G102427
Mycgr3T102437,Mycgr3G102437
Mycgr3T102441,Mycgr3G102441
Mycgr3T102469,Mycgr3G102469
Mycgr3T102471,Mycgr3G102471
Mycgr3T102473,Mycgr3G102473
Mycgr3T102480,Mycgr3G102480
Mycgr3T102481,Mycgr3G102481
Mycgr3T102488,Mycgr3G102488
Mycgr3T102491,Mycgr3G102491
Mycgr3T102499,Mycgr3G102499
Mycgr3T102502,Mycgr3G102502
Mycgr3T102508,Mycgr3G102508
Mycgr3T102513,Mycgr3G102513
Mycgr3T102517,Mycgr3G102517
Mycgr3T102519,Mycgr3G102519
Mycgr3T102520,Mycgr3G102520
Mycgr3T102522,Mycgr3G102522
Mycgr3T102524,Mycgr3G102524
Mycgr3T102525,Mycgr3G102525
Mycgr3T102530,Mycgr3G102530
Mycgr3T102532,Mycgr3G102532
Mycgr3T102534,Mycgr3G102534
Mycgr3T102540,Mycgr3G102540
Mycgr3T102541,Mycgr3G102541
Mycgr3T102552,Mycgr3G102552
Mycgr3T102569,Mycgr3G102569
Mycgr3T102570,Mycgr3G102570
Mycgr3T102581,Mycgr3G102581
Mycgr3T102585,Mycgr3G102585
Mycgr3T102589,Mycgr3G102589
Mycgr3T102601,Mycgr3G102601
Mycgr3T102602,Mycgr3G102602
Mycgr3T102611,Mycgr3G102611
Mycgr3T102612,Mycgr3G102612
Mycgr3T102615,Mycgr3G102615
Mycgr3T102617,Mycgr3G102617
Mycgr3T102625,Mycgr3G102625
Mycgr3T102643,Mycgr3G102643
Mycgr3T102646,Mycgr3G102646
Mycgr3T102649,Mycgr3G102649
Mycgr3T102657,Mycgr3G102657
Mycgr3T102658,Mycgr3G102658
Mycgr3T102682,Mycgr3G102682
Mycgr3T102685,Mycgr3G102685
Mycgr3T102690,Mycgr3G102690
Mycgr3T102692,Mycgr3G102692
Mycgr3T102703,Mycgr3G102703
Mycgr3T102715,Mycgr3G102715
Mycgr3T102720,Mycgr3G102720
Mycgr3T102722,Mycgr3G102722
Mycgr3T102724,Mycgr3G102724
Mycgr3T102725,Mycgr3G102725
Mycgr3T102737,Mycgr3G102737
Mycgr3T102740,Mycgr3G102740
Mycgr3T102741,Mycgr3G102741
Mycgr3T102744,Mycgr3G102744
Mycgr3T102749,Mycgr3G102749
Mycgr3T102753,Mycgr3G102753
Mycgr3T102763,Mycgr3G102763
Mycgr3T102764,Mycgr3G102764
Mycgr3T102767,Mycgr3G102767
Mycgr3T102770,Mycgr3G102770
Mycgr3T102775,Mycgr3G102775
Mycgr3T102780,Mycgr3G102780
Mycgr3T102785,Mycgr3G102785
Mycgr3T102788,Mycgr3G102788
Mycgr3T102792,Mycgr3G102792
Mycgr3T102794,Mycgr3G102794
Mycgr3T102797,Mycgr3G102797
Mycgr3T102798,Mycgr3G102798
Mycgr3T102800,Mycgr3G102800
Mycgr3T102802,Mycgr3G102802
Mycgr3T102814,Mycgr3G102814
Mycgr3T102819,Mycgr3G102819
Mycgr3T102821,Mycgr3G102821
Mycgr3T102831,Mycgr3G102831
Mycgr3T102837,Mycgr3G102837
Mycgr3T102841,Mycgr3G102841
Mycgr3T102842,Mycgr3G102842
Mycgr3T102848,Mycgr3G102848
Mycgr3T102849,Mycgr3G102849
Mycgr3T102854,Mycgr3G102854
Mycgr3T102855,Mycgr3G102855
Mycgr3T102869,Mycgr3G102869
Mycgr3T102874,Mycgr3G102874
Mycgr3T102877,Mycgr3G102877
Mycgr3T102881,Mycgr3G102881
Mycgr3T102887,Mycgr3G102887
Mycgr3T102893,Mycgr3G102893
Mycgr3T102895,Mycgr3G102895
Mycgr3T102897,Mycgr3G102897
Mycgr3T102901,Mycgr3G102901
Mycgr3T102907,Mycgr3G102907
Mycgr3T102912,Mycgr3G102912
Mycgr3T102916,Mycgr3G102916
Mycgr3T102918,Mycgr3G102918
Mycgr3T102920,Mycgr3G102920
Mycgr3T102922,Mycgr3G102922
Mycgr3T102927,Mycgr3G102927
Mycgr3T102936,Mycgr3G102936
Mycgr3T102943,Mycgr3G102943
Mycgr3T102950,Mycgr3G102950
Mycgr3T102956,Mycgr3G102956
Mycgr3T102961,Mycgr3G102961
Mycgr3T102970,Mycgr3G102970
Mycgr3T102977,Mycgr3G102977
Mycgr3T102980,Mycgr3G102980
Mycgr3T102982,Mycgr3G102982
Mycgr3T102983,Mycgr3G102983
Mycgr3T102985,Mycgr3G102985
Mycgr3T102988,Mycgr3G102988
Mycgr3T102990,Mycgr3G102990
Mycgr3T102996,Mycgr3G102996
Mycgr3T103001,Mycgr3G103001
Mycgr3T103004,Mycgr3G103004
Mycgr3T103006,Mycgr3G103006
Mycgr3T103011,Mycgr3G103011
