zt_gene,sc_gene
Mycgr3G71948,YIL075C
Mycgr3G102848,YOR063W
Mycgr3G47599,YFL036W
Mycgr3G67344,YNR031C
Mycgr3G51809,YNL330C
Mycgr3G57670,YDR172W
Mycgr3G98372,YDR190C
Mycgr3G66305,YFR030W
Mycgr3G103135,YMR297W
Mycgr3G70685,YER086W
Mycgr3G73364,YFL018C
Mycgr3G108775,YPR024W
Mycgr3G69066,YLR347C
Mycgr3G99610,YGL048C
Mycgr3G100967,YML057W
Mycgr3G76502,YLR113W
Mycgr3G59773,YDR502C
Mycgr3G87701,YCL054W
Mycgr3G56270,YHR205W
Mycgr3G68887,YOR187W
Mycgr3G110629,YHR072W
Mycgr3G107344,YLR378C
Mycgr3G104368,YDL084W
Mycgr3G65824,YER133W
Mycgr3G76782,YDR394W
Mycgr3G31749,YDL164C
Mycgr3G101590,YML123C
Mycgr3G72901,YBR263W
Mycgr3G39514,YBR136W
Mycgr3G38162,YDR341C
Mycgr3G108769,YGL251C
Mycgr3G74360,YNL061W
Mycgr3G100879,YNL241C
Mycgr3G108040,YMR058W
Mycgr3G105534,YOR014W
Mycgr3G96640,YMR308C
Mycgr3G105791,YER073W
Mycgr3G41853,YKR086W
Mycgr3G87460,YHR020W
Mycgr3G76672,YPR173C
Mycgr3G105609,YIL074C
Mycgr3G71330,YAL048C
Mycgr3G98270,YDL066W
Mycgr3G107212,YPL040C
Mycgr3G67317,YHR037W
Mycgr3G69847,YPL265W
Mycgr3G55193,YLR277C
Mycgr3G71795,YER090W
Mycgr3G84010,YLL034C
Mycgr3G32502,YOR217W
Mycgr3G110506,YMR304W
Mycgr3G61156,YDR023W
Mycgr3G86730,YKR039W
Mycgr3G68561,YLR303W
Mycgr3G89011,YGR116W
Mycgr3G20234,YGR100W
Mycgr3G59247,YCL057W
Mycgr3G68510,YOL058W
Mycgr3G102127,YLR355C
Mycgr3G109954,YHR019C
Mycgr3G20718,YOR211C
Mycgr3G50963,YNL243W
Mycgr3G70055,YNL321W
Mycgr3G11076,YPL207W
Mycgr3G108173,YLR138W
Mycgr3G67389,YGL190C
Mycgr3G105601,YDR232W
Mycgr3G103679,YLR359W
Mycgr3G100586,YFR053C
Mycgr3G75629,YMR167W
Mycgr3G107086,YAL036C
Mycgr3G100728,YOR204W
Mycgr3G96077,YOR093C
Mycgr3G66700,YOL057W
Mycgr3G90353,YCR093W
Mycgr3G75941,YHR170W
Mycgr3G48576,YFL055W
Mycgr3G97582,YBR295W
Mycgr3G57099,YLR371W
Mycgr3G77007,YLR197W
Mycgr3G54740,YML126C
Mycgr3G107427,YJL153C
Mycgr3G75805,YHR042W
Mycgr3G102306,YPR002W
Mycgr3G70532,YPL270W
Mycgr3G42896,YIL166C
Mycgr3G54449,YDL168W
Mycgr3G76205,YOR168W
Mycgr3G65403,YDR270W
Mycgr3G41538,YNL045W
Mycgr3G65568,YFR044C
Mycgr3G111224,YIR007W
Mycgr3G69281,YDR109C
Mycgr3G107052,YJL155C
Mycgr3G55438,YMR015C
Mycgr3G83726,YPR006C
Mycgr3G100095,YMR300C
Mycgr3G110462,YNR050C
Mycgr3G101803,YHR018C
Mycgr3G67924,YJL141C
Mycgr3G71181,YDR334W
Mycgr3G71451,YHR039C
Mycgr3G45998,YKL029C
Mycgr3G73536,YLR083C
Mycgr3G73173,YLR386W
Mycgr3G52472,YML016C
Mycgr3G102990,YCR012W
Mycgr3G36524,YGR019W
Mycgr3G111611,YJR010W
Mycgr3G66166,YBR006W
Mycgr3G48347,YPR159W
Mycgr3G95274,YDR456W
Mycgr3G74458,YNL247W
Mycgr3G84836,YLR032W
Mycgr3G110366,YLL029W
Mycgr3G70260,YLR240W
Mycgr3G71866,YLR234W
Mycgr3G65952,YKL211C
Mycgr3G48810,YGL027C
Mycgr3G86659,YJL005W
Mycgr3G66686,YER013W
Mycgr3G64956,YOR086C
Mycgr3G75758,YCR053W
Mycgr3G75203,YPL023C
Mycgr3G20359,YGR125W
Mycgr3G76506,YAR035W
Mycgr3G106893,YOR310C
Mycgr3G93058,YPR111W
Mycgr3G74526,YDR021W
Mycgr3G10819,YNL238W
Mycgr3G73528,YNR008W
Mycgr3G102064,YPR035W
Mycgr3G99715,YNL267W
Mycgr3G92510,YLR089C
Mycgr3G43399,YNR055C
Mycgr3G100746,YOR259C
Mycgr3G71522,YER136W
Mycgr3G76921,YMR129W
Mycgr3G67005,YBR025C
Mycgr3G52041,YFL022C
Mycgr3G56782,YOR303W
Mycgr3G56686,YLR429W
Mycgr3G102121,YHR030C
Mycgr3G67892,YML054C
Mycgr3G99725,YPL203W
Mycgr3G102770,YNL161W
Mycgr3G70309,YCR032W
Mycgr3G98609,YGR210C
Mycgr3G32817,YDL060W
Mycgr3G47614,YMR266W
Mycgr3G106219,YMR307W
Mycgr3G110972,YJL026W
Mycgr3G50100,YGL084C
Mycgr3G99975,YER110C
Mycgr3G100203,YNL268W
Mycgr3G75124,YPR088C
Mycgr3G55066,YGR200C
Mycgr3G98948,YJL154C
Mycgr3G20279,YFL034W
Mycgr3G104895,YPL154C
Mycgr3G93933,YKR093W
Mycgr3G42292,YBR296C
Mycgr3G109857,YKL135C
Mycgr3G73277,YOR128C
Mycgr3G68180,YKL060C
Mycgr3G74043,YLR438W
Mycgr3G107391,YMR008C
Mycgr3G72258,YAL019W
Mycgr3G61522,YKR050W
Mycgr3G70215,YER178W
Mycgr3G40027,YPR033C
Mycgr3G10632,YBR073W
Mycgr3G56466,YER165W
Mycgr3G60951,YHR113W
Mycgr3G101229,YDL188C
Mycgr3G41772,YPL022W
Mycgr3G73558,YGL078C
Mycgr3G77377,YIL155C
Mycgr3G10422,YDR060W
Mycgr3G86313,YKL126W
Mycgr3G73144,YGR121C
Mycgr3G86218,YBR294W
Mycgr3G49536,YMR190C
Mycgr3G34547,YDR294C
Mycgr3G33139,YIR028W
Mycgr3G74327,YOR378W
Mycgr3G109593,YBR170C
Mycgr3G110231,YHR007C
Mycgr3G69454,YPL184C
Mycgr3G74700,YGL099W
Mycgr3G77396,YNL154C
Mycgr3G105844,YNL331C
Mycgr3G101785,YGL148W
Mycgr3G75360,YBR097W
Mycgr3G32139,YAL012W
Mycgr3G85661,YHL007C
Mycgr3G101572,YJL212C
Mycgr3G86617,YPL008W
Mycgr3G107244,YFL033C
Mycgr3G71233,YOL060C
Mycgr3G45397,YMR261C
Mycgr3G85387,YGR088W
Mycgr3G110775,YOR244W
Mycgr3G70243,YNR067C
Mycgr3G88424,YGL012W
Mycgr3G80591,YGL055W
Mycgr3G45983,YGR173W
Mycgr3G68159,YPR117W
Mycgr3G109428,YKL209C
Mycgr3G106885,YNL250W
Mycgr3G111717,YOR196C
Mycgr3G48377,YFR038W
Mycgr3G75112,YPL259C
Mycgr3G101857,YPL204W
Mycgr3G32466,YGR287C
Mycgr3G108107,YBR166C
Mycgr3G69132,YLL031C
Mycgr3G65235,YDL174C
Mycgr3G77532,YGL040C
Mycgr3G65997,YBL030C
Mycgr3G106868,YPL147W
Mycgr3G51380,YOR348C
Mycgr3G74864,YHR025W
Mycgr3G98537,YNL329C
Mycgr3G56933,YGR244C
Mycgr3G109456,YJL060W
Mycgr3G67486,YJL087C
Mycgr3G56708,YBL011W
Mycgr3G75699,YEL036C
Mycgr3G68458,YPL109C
Mycgr3G98201,YDR477W
Mycgr3G100065,YDR047W
Mycgr3G108572,YDL055C
Mycgr3G75050,YER052C
Mycgr3G35079,YNL142W
Mycgr3G99289,YLL008W
Mycgr3G68415,YBR132C
Mycgr3G66559,YER082C
Mycgr3G85600,YPR112C
Mycgr3G75707,YMR224C
Mycgr3G33019,YAL053W
Mycgr3G62487,YNR047W
Mycgr3G70588,YLR163C
Mycgr3G75902,YDL047W
Mycgr3G74048,YOR361C
Mycgr3G67759,YNL059C
Mycgr3G49589,YKL134C
Mycgr3G73846,YHR194W
Mycgr3G73683,YDR035W
Mycgr3G65923,YOR046C
Mycgr3G62211,YOR099W
Mycgr3G40511,YGR252W
Mycgr3G22524,YHR024C
Mycgr3G44761,YOL098C
Mycgr3G74645,YNL220W
Mycgr3G47177,YJR040W
Mycgr3G62484,YGL091C
Mycgr3G45088,YLR241W
Mycgr3G69357,YBR221C
Mycgr3G87842,YIL107C
Mycgr3G69890,YNL277W
Mycgr3G45546,YDR536W
Mycgr3G103221,YCL018W
Mycgr3G99130,YBR249C
Mycgr3G96615,YDR141C
Mycgr3G100915,YGL119W
Mycgr3G66756,YLL028W
Mycgr3G75047,YDR283C
Mycgr3G66201,YDL240W
Mycgr3G107959,YFL004W
Mycgr3G84402,YHR065C
Mycgr3G40901,YGR145W
Mycgr3G70646,YMR250W
Mycgr3G101434,YOR136W
Mycgr3G45907,YHR068W
Mycgr3G110412,YKR038C
Mycgr3G77616,YDL190C
Mycgr3G84644,YMR216C
Mycgr3G57170,YLL039C
Mycgr3G77337,YBR222C
Mycgr3G107360,YPR069C
Mycgr3G66888,YHR208W
Mycgr3G90977,YPL175W
Mycgr3G104498,YPL028W
Mycgr3G75696,YEL022W
Mycgr3G77799,YBR286W
Mycgr3G101169,YNR032W
Mycgr3G85715,YIL094C
Mycgr3G100895,YHR107C
Mycgr3G76530,YOR388C
Mycgr3G99433,YOR067C
Mycgr3G92212,YLR276C
Mycgr3G68855,YLR087C
Mycgr3G105053,YNL037C
Mycgr3G99044,YGR192C
Mycgr3G70312,YEL060C
Mycgr3G33425,YDR481C
Mycgr3G106955,YGL114W
Mycgr3G76271,YOL094C
Mycgr3G109314,YHR120W
Mycgr3G48403,YNL082W
Mycgr3G102151,YDR189W
Mycgr3G100271,YLR027C
Mycgr3G100940,YGL095C
Mycgr3G71123,YER099C
Mycgr3G47042,YCR008W
Mycgr3G76950,YBL106C
Mycgr3G37223,YNL021W
Mycgr3G74261,YBR298C
Mycgr3G58320,YKL212W
Mycgr3G101477,YHL040C
Mycgr3G63707,YOL023W
Mycgr3G107974,YMR145C
Mycgr3G72064,YBR011C
Mycgr3G104260,YGR286C
Mycgr3G76083,YEL042W
Mycgr3G101446,YML042W
Mycgr3G100224,YOR160W
Mycgr3G88089,YER047C
Mycgr3G65848,YBL063W
Mycgr3G66970,YIL103W
Mycgr3G72460,YDL138W
Mycgr3G77395,YBL091C
Mycgr3G69117,YHR094C
Mycgr3G54914,YMR241W
Mycgr3G34379,YKL017C
Mycgr3G108985,YBR281C
Mycgr3G50542,YPR194C
Mycgr3G44908,YFL003C
Mycgr3G61786,YJL167W
Mycgr3G44026,YIR027C
Mycgr3G70653,YML069W
Mycgr3G41278,YIR002C
Mycgr3G101275,YBR019C
Mycgr3G72031,YOR061W
Mycgr3G100974,YDR012W
Mycgr3G65482,YOL097C
Mycgr3G45599,YCR092C
Mycgr3G73071,YBL016W
Mycgr3G74750,YFR031C-A
Mycgr3G84779,YOR165W
Mycgr3G76425,YML070W
Mycgr3G93412,YLR129W
Mycgr3G99387,YLR409C
Mycgr3G83356,YGL216W
Mycgr3G69657,YOL122C
Mycgr3G107419,YMR080C
Mycgr3G71911,YLR244C
Mycgr3G71045,YBR160W
Mycgr3G110933,YPR003C
Mycgr3G98499,YOR241W
Mycgr3G40465,YLR134W
Mycgr3G76524,YDL132W
Mycgr3G53676,YLL018C
Mycgr3G51270,YBR220C
Mycgr3G107644,YJL101C
Mycgr3G90616,YGR245C
Mycgr3G76044,YDL234C
Mycgr3G109224,YGR258C
Mycgr3G42345,YCR042C
Mycgr3G71900,YGR103W
Mycgr3G73576,YLL011W
Mycgr3G69399,YLR354C
Mycgr3G83907,YFR028C
Mycgr3G111215,YPR189W
Mycgr3G41117,YMR165C
Mycgr3G60912,YIR034C
Mycgr3G93043,YGL094C
Mycgr3G100550,YDL149W
Mycgr3G70113,YML008C
Mycgr3G104476,YGR155W
Mycgr3G105971,YKL085W
Mycgr3G71986,YJL094C
Mycgr3G77157,YNR043W
Mycgr3G45693,YCL004W
Mycgr3G101210,YMR083W
Mycgr3G92934,YHR169W
Mycgr3G100123,YPL031C
Mycgr3G76218,YFL025C
Mycgr3G86654,YMR278W
Mycgr3G87913,YJR130C
Mycgr3G106489,YHR203C
Mycgr3G75420,YKR024C
Mycgr3G77495,YLR253W
Mycgr3G98612,YKL188C
Mycgr3G67073,YBL008W
Mycgr3G100434,YHR171W
Mycgr3G65640,YLR401C
Mycgr3G83965,YKL010C
Mycgr3G76553,YDR105C
Mycgr3G111309,YDR148C
Mycgr3G108472,YOR176W
Mycgr3G107400,YPR029C
Mycgr3G76604,YOR087W
Mycgr3G101366,YKR002W
Mycgr3G109531,YCL059C
Mycgr3G66064,YBR041W
Mycgr3G72515,YDR300C
Mycgr3G66469,YPR047W
Mycgr3G68512,YBR034C
Mycgr3G105957,YNL071W
Mycgr3G87000,YGL234W
Mycgr3G44913,YKL184W
Mycgr3G103034,YEL058W
Mycgr3G100330,YBL079W
Mycgr3G71838,YER078C
Mycgr3G37615,YLR005W
Mycgr3G73390,YGR231C
Mycgr3G100567,YKL113C
Mycgr3G74210,YJR117W
Mycgr3G33593,YDR122W
Mycgr3G21233,YKL146W
Mycgr3G109907,YAR007C
Mycgr3G104491,YDR353W
Mycgr3G45066,YJR131W
Mycgr3G102189,YLR289W
Mycgr3G34542,YOR191W
Mycgr3G32193,YGL194C
Mycgr3G63549,YIL108W
Mycgr3G51814,YFR004W
Mycgr3G73499,YPL266W
Mycgr3G75314,YDR075W
Mycgr3G64910,YMR221C
Mycgr3G72281,YBR018C
Mycgr3G67763,YDR375C
Mycgr3G105999,YDL198C
Mycgr3G62823,YLR314C
Mycgr3G101353,YJR007W
Mycgr3G72420,YBR243C
Mycgr3G30209,YDR331W
Mycgr3G42194,YGR266W
Mycgr3G98343,YLR293C
Mycgr3G102341,YOL030W
Mycgr3G70984,YOR206W
Mycgr3G75665,YGR157W
Mycgr3G59611,YNL212W
Mycgr3G72994,YGR185C
Mycgr3G101384,YMR302C
Mycgr3G74146,YLL041C
Mycgr3G68823,YDR044W
Mycgr3G111575,YCR002C
Mycgr3G43818,YPL009C
Mycgr3G86308,YOR074C
Mycgr3G100881,YMR139W
Mycgr3G107389,YER141W
Mycgr3G46530,YCR028C
Mycgr3G52269,YBL024W
Mycgr3G101162,YGR211W
Mycgr3G33937,YBR237W
Mycgr3G84117,YOL140W
Mycgr3G77678,YHR064C
Mycgr3G34014,YKL046C
Mycgr3G98719,YBR008C
Mycgr3G76503,YER020W
Mycgr3G68817,YOR261C
Mycgr3G106864,YDL103C
Mycgr3G10540,YDR208W
Mycgr3G98235,YHR073W
Mycgr3G100901,YMR062C
Mycgr3G15872,YGR086C
Mycgr3G53203,YOR002W
Mycgr3G32789,YGR274C
Mycgr3G110994,YBR029C
Mycgr3G68784,YPR016C
Mycgr3G68009,YGL115W
Mycgr3G37699,YDL128W
Mycgr3G44538,YKL197C
Mycgr3G64704,YDR158W
Mycgr3G109970,YPR103W
Mycgr3G111338,YOR197W
Mycgr3G85027,YHL032C
Mycgr3G85032,YJL102W
Mycgr3G71524,YJL172W
Mycgr3G10502,YPL195W
Mycgr3G20337,YGR090W
Mycgr3G101192,YER005W
Mycgr3G71742,YOR209C
Mycgr3G36271,YGR060W
Mycgr3G67239,YER003C
Mycgr3G70525,YBR208C
Mycgr3G68560,YER015W
Mycgr3G42849,YJR005W
Mycgr3G102365,YPL131W
Mycgr3G99193,YDL014W
Mycgr3G72623,YGR012W
Mycgr3G65322,YLR447C
Mycgr3G70216,YER053C
Mycgr3G69093,YMR272C
Mycgr3G63909,YIL147C
Mycgr3G108617,YKL140W
Mycgr3G74730,YOR142W
Mycgr3G76249,YJL128C
Mycgr3G105489,YOL130W
Mycgr3G77545,YDR497C
Mycgr3G53056,YGR194C
Mycgr3G74592,YOR175C
Mycgr3G41129,YBR142W
Mycgr3G74783,YGL225W
Mycgr3G107981,YDL036C
Mycgr3G101849,YKR069W
Mycgr3G102281,YMR121C
Mycgr3G68352,YBL088C
Mycgr3G104664,YLR340W
Mycgr3G39819,YHR048W
Mycgr3G108717,YMR309C
Mycgr3G65850,YHR190W
Mycgr3G64917,YKR003W
Mycgr3G70015,YBR020W
Mycgr3G100423,YBR058C
Mycgr3G34756,YOR222W
Mycgr3G64979,YLR248W
Mycgr3G98409,YGL003C
Mycgr3G65914,YPL042C
Mycgr3G108426,YDL238C
Mycgr3G76200,YKL217W
Mycgr3G109408,YLR195C
Mycgr3G41102,YFR019W
Mycgr3G76495,YLR114C
Mycgr3G56200,YOR155C
Mycgr3G77897,YDL147W
Mycgr3G100226,YEL020C
Mycgr3G66025,YGR132C
Mycgr3G56833,YHR104W
Mycgr3G76460,YGR253C
Mycgr3G70997,YJR159W
Mycgr3G60505,YFL047W
Mycgr3G102072,YDR099W
Mycgr3G20674,YJL168C
Mycgr3G66175,YGR170W
Mycgr3G48794,YER169W
Mycgr3G100072,YJR068W
Mycgr3G103866,YLR377C
Mycgr3G41275,YNL239W
Mycgr3G44262,YGR144W
Mycgr3G33485,YPL050C
Mycgr3G75274,YNR012W
Mycgr3G69570,YGL211W
Mycgr3G103255,YJR139C
Mycgr3G94266,YGR171C
Mycgr3G107825,YLR231C
Mycgr3G98828,YNL275W
Mycgr3G44796,YHR079C
Mycgr3G65087,YJR126C
Mycgr3G110945,YKL181W
Mycgr3G47262,YPL029W
Mycgr3G66573,YML092C
Mycgr3G46421,YKL022C
Mycgr3G110147,YDL022W
Mycgr3G75118,YKL103C
Mycgr3G60826,YDR243C
Mycgr3G67807,YDL141W
Mycgr3G57639,YPR021C
Mycgr3G101520,YOR157C
Mycgr3G103615,YJL208C
Mycgr3G108833,YDL001W
Mycgr3G74087,YNL218W
Mycgr3G50614,YNL006W
Mycgr3G67501,YNL288W
Mycgr3G69014,YIL085C
Mycgr3G87018,YFL059W
Mycgr3G99605,YER093C
Mycgr3G109629,YGL184C
Mycgr3G104882,YDR372C
Mycgr3G74826,YJR001W
Mycgr3G77474,YEL064C
Mycgr3G101271,YMR231W
Mycgr3G42977,YEL052W
Mycgr3G44229,YMR277W
Mycgr3G39163,YIL160C
Mycgr3G69654,YKL027W
Mycgr3G73550,YHR098C
Mycgr3G12465,YGL252C
Mycgr3G67551,YDR388W
Mycgr3G76112,YOR271C
Mycgr3G74348,YOL038W
Mycgr3G48593,YLR345W
Mycgr3G44260,YIR008C
Mycgr3G39937,YLR004C
Mycgr3G42499,YNL064C
Mycgr3G73716,YGL180W
Mycgr3G109523,YOL016C
Mycgr3G66057,YIL130W
Mycgr3G60824,YOR065W
Mycgr3G108197,YNL191W
Mycgr3G32960,YOR273C
Mycgr3G60015,YOR323C
Mycgr3G65330,YFL002C
Mycgr3G73579,YDL097C
Mycgr3G107760,YLR212C
Mycgr3G109769,YIR029W
Mycgr3G111499,YER107C
Mycgr3G104360,YGL123W
Mycgr3G76687,YOR001W
Mycgr3G103492,YJR077C
Mycgr3G49453,YLR186W
Mycgr3G107402,YBR079C
Mycgr3G74536,YOL049W
Mycgr3G42422,YNL178W
Mycgr3G65114,YMR146C
Mycgr3G99292,YNR033W
