gene_id,class,interaction_sig,gene_name,description
Mycgr3G100224,ns,True,MTR10,Exportin 1-like protein
Mycgr3G100226,fungicide-specific,False,,Belongs to the TPP enzyme family
Mycgr3G100227,shared,False,,AMP-binding enzyme C-terminal domain
Mycgr3G100232,ns,False,CHS3,Glycosyltransferase family 2 protein
Mycgr3G100239,ns,False,,FMN-dependent dehydrogenase
Mycgr3G100243,fungicide-specific,False,,Fungal specific transcription factor domain
Mycgr3G100250,ns,False,LAP1,Belongs to the peptidase M28 family
Mycgr3G100252,fungicide-specific,False,,Belongs to the glycosyl hydrolase 7 (cellulase C) family
Mycgr3G100257,shared,False,,"Glutathione S-transferase, C-terminal domain"
Mycgr3G100264,fungicide-specific,False,,Protein of unknown function (DUF3659)
Mycgr3G100271,fungicide-specific,True,aat2,Aspartate aminotransferase
Mycgr3G100273,fungicide-specific,False,,Major Facilitator Superfamily
Mycgr3G100276,ns,False,,Permease family
Mycgr3G100278,fungicide-specific,False,creA,"Zinc finger, C2H2 type"
Mycgr3G100284,ns,False,CHS2,Glycosyltransferase family 2 protein
Mycgr3G100300,heat-specific,False,,Thioredoxin
Mycgr3G100306,fungicide-specific,True,TOP1,DNA Topoisomerase I (eukaryota)
Mycgr3G100323,ns,False,YLH47,LETM1-like protein
Mycgr3G100330,fungicide-specific,True,NUP170,Non-repetitive/WGA-negative nucleoporin C-terminal
Mycgr3G100343,ns,False,,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Mycgr3G100344,ns,False,MCD4,Phosphatidylinositolglycan class N (PIG-N)
Mycgr3G100346,ns,False,AKR1,Belongs to the DHHC palmitoyltransferase family
Mycgr3G100355,ns,False,,C2H2-type zinc finger
Mycgr3G100364,fungicide-specific,False,CFT1,CPSF A subunit region
Mycgr3G100367,ns,False,ARO8,Aminotransferase class I and II
Mycgr3G100372,shared,False,,Methyltransferase domain
Mycgr3G100383,ns,True,,X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain
Mycgr3G100391,ns,False,SCJ1,DnaJ central domain
Mycgr3G100409,shared,False,,Major Facilitator Superfamily
Mycgr3G100421,ns,False,,Animal haem peroxidase
Mycgr3G100423,ns,False,ubp14,Ubiquitinyl hydrolase 1
Mycgr3G100434,ns,False,ATG7,Ubiquitin-like modifier-activating enzyme ATG7 N-terminus
Mycgr3G100443,ns,True,,"RNA-binding, Nab2-type zinc finger"
Mycgr3G100444,shared,True,UTP18,WD40 repeats
Mycgr3G100450,shared,True,BFR1,Nuclear segregation protein
Mycgr3G100453,ns,False,REV1,Deoxycytidyl transferase involved in DNA repair. Transfers a dCMP residue from dCTP to the 3'-end of a DNA primer in a template-dependent reaction. May assist in the first step in the bypass of abasic lesions by the insertion of a nucleotide opposite the lesion. Required for normal induction of mutations by physical and chemical agents
Mycgr3G100461,ns,False,,Acyltransferase family
Mycgr3G100462,ns,False,,"Copper amine oxidase, enzyme domain"
Mycgr3G100470,shared,False,BUB1,Mad3/BUB1 hoMad3/BUB1 homology region 1
Mycgr3G100473,fungicide-specific,True,SRC1,HeH/LEM domain
Mycgr3G100492,ns,False,UBR1,ATP-dependent Clp protease adaptor protein ClpS
Mycgr3G100493,fungicide-specific,True,,Acetamidase/Formamidase family
Mycgr3G100496,fungicide-specific,False,NAG1,beta-acetyl hexosaminidase like
Mycgr3G100498,fungicide-specific,False,,Acetyl-coenzyme A synthetase N-terminus
Mycgr3G100507,ns,False,MPE1,DWNN
Mycgr3G100510,ns,False,,Belongs to the mitochondrial carrier (TC 2.A.29) family
Mycgr3G100515,ns,True,PMR1,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family
Mycgr3G100533,fungicide-specific,True,,Glycosyl transferase family group 2
Mycgr3G100535,ns,False,ZCF27,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Mycgr3G100547,ns,False,SWD3,"WD domain, G-beta repeat"
Mycgr3G100550,ns,False,ATG9,"Involved in autophagy and cytoplasm to vacuole transport (Cvt) vesicle formation. Plays a key role in the organization of the preautophagosomal structure phagophore assembly site (PAS), the nucleating site for formation of the sequestering vesicle"
Mycgr3G100559,heat-specific,False,,Carboxylesterase family
Mycgr3G100567,ns,False,FEN1,"Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base, leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway, by cleaving within the apurinic apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double- stranded DNA, and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA"
Mycgr3G100575,ns,False,ISC1,Endonuclease/Exonuclease/phosphatase family
Mycgr3G100579,ns,False,,DDHD
Mycgr3G100580,ns,False,PPM1,Leucine carboxyl methyltransferase
Mycgr3G100584,heat-specific,False,,Alpha/beta hydrolase of unknown function (DUF1100)
Mycgr3G100586,ns,False,hxk1,Belongs to the hexokinase family
Mycgr3G100589,ns,False,,WD40 repeats
Mycgr3G100592,fungicide-specific,False,,iron ion binding
Mycgr3G100608,ns,False,UBC4,Belongs to the ubiquitin-conjugating enzyme family
Mycgr3G100614,shared,False,,Glycosyl hydrolase catalytic core
Mycgr3G100618,ns,False,HST2,Belongs to the sirtuin family. Class I subfamily
Mycgr3G100619,shared,True,RMT2,S-adenosyl-L-methionine-dependent protein-arginine N- methyltransferase that methylates the delta-nitrogen atom of arginine residues to form N5-methylarginine (type IV) in target proteins. Monomethylates ribosomal protein L12
Mycgr3G100626,fungicide-specific,False,,SHNi-TPR
Mycgr3G100643,fungicide-specific,True,,"Glutathione S-transferase, C-terminal domain"
Mycgr3G100647,ns,False,,Glycoside hydrolase family 17 protein
Mycgr3G100649,heat-specific,False,,
Mycgr3G100653,ns,False,,
Mycgr3G100657,ns,False,,Xylose isomerase-like TIM barrel
Mycgr3G100666,ns,True,,
Mycgr3G100674,fungicide-specific,True,,Mycolic acid cyclopropane synthetase
Mycgr3G100684,ns,False,bem46,"Serine aminopeptidase, S33"
Mycgr3G100718,ns,False,,
Mycgr3G100728,fungicide-specific,True,DED1,Belongs to the DEAD box helicase family
Mycgr3G100730,ns,False,IZH3,Haemolysin-III related
Mycgr3G100744,ns,False,,Aldo/keto reductase family
Mycgr3G100746,ns,False,RPT4,Belongs to the AAA ATPase family
Mycgr3G100756,fungicide-specific,False,,
Mycgr3G100764,ns,False,,Pyridine nucleotide-disulphide oxidoreductase
Mycgr3G100770,ns,False,,"SWI complex, BAF60b domains"
Mycgr3G100791,fungicide-specific,False,,Belongs to the GMC oxidoreductase family
Mycgr3G100794,ns,False,PAK6,"Serine/Threonine protein kinases, catalytic domain"
Mycgr3G100796,ns,False,,Belongs to the cytochrome P450 family
Mycgr3G100839,ns,False,,Iron-containing alcohol dehydrogenase
Mycgr3G100840,fungicide-specific,False,,"Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins."
Mycgr3G100846,ns,True,,
Mycgr3G100850,fungicide-specific,False,,GMC oxidoreductase
Mycgr3G100851,heat-specific,False,SNQ2,Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
Mycgr3G100854,shared,False,CHT4,Belongs to the glycosyl hydrolase 18 family
Mycgr3G100872,ns,False,AMO1,"Copper amine oxidase, N3 domain"
Mycgr3G100874,ns,True,ubc1,Belongs to the ubiquitin-conjugating enzyme family
Mycgr3G100879,ns,False,ZWF1,"Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis"
Mycgr3G100881,ns,False,gsk3,Belongs to the protein kinase superfamily
Mycgr3G100890,ns,False,RAI1,RAI1 like PD-(D/E)XK nuclease
Mycgr3G100894,fungicide-specific,True,PWP2,Dip2/Utp12 Family
Mycgr3G100895,fungicide-specific,False,spn4,Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Mycgr3G100896,shared,False,,NADH:flavin oxidoreductase / NADH oxidase family
Mycgr3G100899,ns,False,,"Syntaxin 6, N-terminal"
Mycgr3G100901,ns,False,ECM42,"Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of acetylglutamate from glutamate and acetyl-CoA, and of ornithine by transacetylation between acetylornithine and glutamate"
Mycgr3G100915,ns,False,,ABC1 family
Mycgr3G100939,fungicide-specific,False,,
Mycgr3G100940,ns,False,VPS45,Belongs to the STXBP unc-18 SEC1 family
Mycgr3G100955,heat-specific,False,,UreF
Mycgr3G100958,shared,True,,Amidase
Mycgr3G100962,ns,False,ADI1,Enoyl-(Acyl carrier protein) reductase
Mycgr3G100967,ns,False,CNA1,Serine threonine-protein phosphatase
Mycgr3G100974,fungicide-specific,True,RPL4B,60S ribosomal protein L4 C-terminal domain
Mycgr3G100978,ns,False,TUP1,Tup N-terminal
Mycgr3G100985,ns,False,,Phospholipase/Carboxylesterase
Mycgr3G100988,ns,False,,"Repeated motif present between transmembrane helices in cystinosin, yeast ERS1p, mannose-P-dolichol utilization defect 1, and other hypothetical proteins."
Mycgr3G100990,ns,False,,Glutathione-dependent formaldehyde-activating enzyme
Mycgr3G100994,ns,False,,GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain
Mycgr3G10100,heat-specific,False,rhp26,SNF2 family N-terminal domain
Mycgr3G101007,ns,False,EPL1,Enhancer of polycomb-like protein
Mycgr3G101009,ns,False,,Transport protein particle (TRAPP) component
Mycgr3G101025,heat-specific,False,,OPT oligopeptide transporter protein
Mycgr3G101026,fungicide-specific,True,,Aminotransferase class I and II
Mycgr3G101027,ns,False,CWC27,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Mycgr3G101035,shared,True,,Domain of unknown function (DUF1996)
Mycgr3G101041,ns,False,,Dyggve-Melchior-Clausen syndrome protein
Mycgr3G101059,ns,False,,Pyridoxal-phosphate dependent enzyme
Mycgr3G101063,heat-specific,False,,
Mycgr3G101067,ns,False,GTR1,Gtr1/RagA G protein conserved region
Mycgr3G101069,shared,True,,Belongs to the nucleosome assembly protein (NAP) family
Mycgr3G101073,fungicide-specific,False,ELO2,Very-long-chain 3-oxoacyl-CoA synthase
Mycgr3G101077,heat-specific,False,,
Mycgr3G101079,shared,False,,Major Facilitator Superfamily
Mycgr3G10108,shared,True,SET1,"Catalytic component of the COMPASS (Set1C) complex that specifically mono-, di- and trimethylates histone H3 to form H3K4me1 2 3, which subsequently plays a role in telomere length maintenance and transcription elongation regulation"
Mycgr3G101090,fungicide-specific,True,,alpha/beta hydrolase fold
Mycgr3G101096,ns,False,,Glycosyltransferase family 4 protein
Mycgr3G101103,ns,False,SIS1,DnaJ C terminal domain
Mycgr3G101108,ns,True,NRP1,Zn-finger in Ran binding protein and others
Mycgr3G101114,ns,False,,Cytochrome P450
Mycgr3G101121,fungicide-specific,False,,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Mycgr3G101124,fungicide-specific,False,,Belongs to the aldehyde dehydrogenase family
Mycgr3G101134,fungicide-specific,True,,Enoyl-(Acyl carrier protein) reductase
Mycgr3G101149,fungicide-specific,False,,Phosphotransferase enzyme family
Mycgr3G101160,ns,False,PAT1,Topoisomerase II-associated protein PAT1
Mycgr3G101162,fungicide-specific,True,ZPR1,Duplicated domain in the epidermal growth factor- and elongation factor-1alpha-binding protein Zpr1. Also present in archaeal proteins.
Mycgr3G101169,ns,False,PPG1,Serine threonine-protein phosphatase
Mycgr3G101180,fungicide-specific,True,DBP4,DUF4217
Mycgr3G101182,heat-specific,False,,Sodium:neurotransmitter symporter family
Mycgr3G101192,ns,True,YND1,Belongs to the GDA1 CD39 NTPase family
Mycgr3G101194,ns,False,RDI1,RHO protein GDP dissociation inhibitor
Mycgr3G101204,ns,False,,Domain of unknown function (DUF3337)
Mycgr3G101206,heat-specific,False,,Major Facilitator Superfamily
Mycgr3G101210,ns,False,ADH1,Alcohol dehydrogenase GroES-like domain
Mycgr3G101221,shared,True,TMA46,"DRG Family Regulatory Proteins, Tma46"
Mycgr3G101229,ns,False,,Serine threonine-protein phosphatase
Mycgr3G101230,fungicide-specific,False,,Mycolic acid cyclopropane synthetase
Mycgr3G101235,fungicide-specific,False,,"Peroxidase, family 2"
Mycgr3G101238,ns,False,ryh1,Rab subfamily of small GTPases
Mycgr3G101240,ns,False,VMA8,ATP synthase subunit D
Mycgr3G101252,ns,False,,ABC transporter
Mycgr3G10126,ns,False,,Cortical protein marker for cell polarity
Mycgr3G101265,ns,False,,Glycosyltransferase family 90 protein
Mycgr3G101270,ns,False,,DDHD
Mycgr3G101271,ns,False,VPS11,Vacuolar protein sorting protein 11 C terminal
Mycgr3G101275,ns,False,GAL10,"GDP-mannose 4,6 dehydratase"
Mycgr3G101277,ns,False,vma16,Belongs to the V-ATPase proteolipid subunit family
Mycgr3G101279,fungicide-specific,True,,Belongs to the mitochondrial carrier (TC 2.A.29) family
Mycgr3G101297,ns,False,,PPR repeat
Mycgr3G101300,ns,False,,Belongs to the synaptobrevin family
Mycgr3G101301,ns,False,,Translation initiation factor 1A / IF-1
Mycgr3G101325,fungicide-specific,False,,Enoyl-(Acyl carrier protein) reductase
Mycgr3G101326,fungicide-specific,False,,GPR1/FUN34/yaaH family
Mycgr3G101338,ns,False,EXO70,Exo70 exocyst complex subunit
Mycgr3G101342,ns,False,,Glycosyltransferase family 41 protein
Mycgr3G101353,ns,False,tif211,Eukaryotic translation initiation factor 2 alpha subunit
Mycgr3G101356,ns,False,,Ferric reductase like transmembrane component
Mycgr3G101358,fungicide-specific,False,,AMP-binding enzyme
Mycgr3G101362,ns,False,CDC25,Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif
Mycgr3G101365,ns,False,tigA,Belongs to the protein disulfide isomerase family
Mycgr3G101366,ns,False,PAP1,Poly(A) polymerase central domain
Mycgr3G101384,fungicide-specific,True,YME2,RNA12 protein
Mycgr3G101387,fungicide-specific,False,GPH1,"Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties"
Mycgr3G101398,ns,False,,Alpha/beta hydrolase family
Mycgr3G101405,fungicide-specific,False,ACH1,Acetyl-CoA hydrolase/transferase C-terminal domain
Mycgr3G101408,ns,False,,Membrane transport protein
Mycgr3G101410,ns,False,WWM1,Domain with 2 conserved Trp (W) residues
Mycgr3G101413,fungicide-specific,True,PPT1,"Protein phosphatase 2A homologues, catalytic domain."
Mycgr3G101415,fungicide-specific,False,OPSB,Belongs to the peptidase A1 family
Mycgr3G101417,ns,False,,Nuclear protein Es2
Mycgr3G101428,shared,True,BMS1,AARP2CN (NUC121) domain
Mycgr3G101429,ns,False,SRP68,Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane
Mycgr3G101434,ns,False,IDH2,"Isocitrate dehydrogenase NAD subunit, mitochondrial"
Mycgr3G101437,fungicide-specific,False,,Fatty acid desaturase
Mycgr3G101446,ns,False,CAT2,Belongs to the carnitine choline acetyltransferase family
Mycgr3G101448,fungicide-specific,False,ASK1,DASH complex subunit Ask1
Mycgr3G101457,fungicide-specific,True,SMD2,snRNP Sm proteins
Mycgr3G101461,ns,False,,ABC-2 family transporter protein
Mycgr3G101464,fungicide-specific,True,QCR2,Insulinase (Peptidase family M16)
Mycgr3G101466,ns,True,,Transmembrane amino acid transporter protein
Mycgr3G101477,ns,False,SIT1,)transporter
Mycgr3G101478,shared,True,mak16,Mak16 protein C-terminal region
Mycgr3G101482,ns,False,SPF1,haloacid dehalogenase-like hydrolase
Mycgr3G101485,fungicide-specific,False,hus1,Hus1-like protein
Mycgr3G101489,fungicide-specific,True,,Belongs to the TPP enzyme family
Mycgr3G101493,ns,False,,Enoylreductase
Mycgr3G101503,fungicide-specific,False,,Mo-co oxidoreductase dimerisation domain
Mycgr3G101514,fungicide-specific,False,,Class II Aldolase and Adducin N-terminal domain
Mycgr3G101520,ns,False,PUP1,Proteasome beta subunits C terminal
Mycgr3G101535,ns,False,,ATP dependent DNA ligase C terminal region
Mycgr3G101539,fungicide-specific,True,,Casein kinase substrate phosphoprotein PP28
Mycgr3G101551,shared,True,,Alcohol dehydrogenase GroES-like domain
Mycgr3G101554,ns,False,VPS41,Region in Clathrin and VPS
Mycgr3G101572,fungicide-specific,True,,OPT oligopeptide transporter protein
Mycgr3G101579,ns,False,CHT4,Belongs to the glycosyl hydrolase 18 family
Mycgr3G101587,ns,False,PDI1,Calsequestrin
Mycgr3G101589,ns,False,,Belongs to the mitochondrial carrier (TC 2.A.29) family
Mycgr3G101590,shared,False,,Sugar (and other) transporter
Mycgr3G101592,ns,False,,Beta-lactamase superfamily domain
Mycgr3G101603,shared,False,,Transmembrane amino acid transporter protein
Mycgr3G101607,ns,False,HRD1,RING-H2 zinc finger domain
Mycgr3G101609,ns,False,DHH1,Belongs to the DEAD box helicase family
Mycgr3G101642,ns,False,,Belongs to the OSBP family
Mycgr3G10165,ns,False,,Glycosyltransferase family 1 protein
Mycgr3G101652,fungicide-specific,True,,
Mycgr3G101655,ns,False,FKS1,Glycosyltransferase family 48 protein
Mycgr3G101662,ns,False,,Hypothetical protein (DUF2410)
Mycgr3G101664,ns,False,BNA6,Involved in the catabolism of quinolinic acid (QA)
Mycgr3G101665,fungicide-specific,False,TRM10,tRNA (Guanine-1)-methyltransferase
Mycgr3G101670,ns,False,TAF5,"WD40 associated region in TFIID subunit, NTD2 domain"
Mycgr3G101672,ns,False,,
Mycgr3G101681,ns,False,AQY1,Belongs to the MIP aquaporin (TC 1.A.8) family
Mycgr3G101693,ns,False,,glycoside hydrolase family 35
Mycgr3G101694,ns,False,,Sulfatase
Mycgr3G101702,ns,False,,Haloacid dehalogenase-like hydrolase
Mycgr3G101708,ns,False,KEX1,Belongs to the peptidase S10 family
Mycgr3G101712,ns,False,,Regulator of G protein signalling domain
Mycgr3G101715,fungicide-specific,True,,Belongs to the complex I 20 kDa subunit family
Mycgr3G101727,ns,False,,Belongs to the mitochondrial carrier (TC 2.A.29) family
Mycgr3G10173,fungicide-specific,True,,Domain present in phytochromes and cGMP-specific phosphodiesterases.
Mycgr3G101742,ns,False,,Glycoside hydrolase family 92 protein
Mycgr3G101763,shared,False,,Polysaccharide deacetylase
Mycgr3G101774,fungicide-specific,True,,Belongs to the eukaryotic ribosomal protein P1 P2 family
Mycgr3G101775,ns,True,,Protein of unknown function (DUF2408)
Mycgr3G101782,fungicide-specific,True,rps23,Belongs to the universal ribosomal protein uS12 family
Mycgr3G101785,heat-specific,False,ARO2,Chorismate synthase
Mycgr3G101786,ns,True,RNR1,Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
Mycgr3G101788,heat-specific,False,agn1,Glycosyl hydrolase family 71
Mycgr3G101791,ns,False,ELP1,"Acts as subunit of the RNA polymerase II elongator complex, which is a histone acetyltransferase component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation"
Mycgr3G101794,ns,False,,Belongs to the short-chain dehydrogenases reductases (SDR) family
Mycgr3G101803,ns,False,ARG4,Argininosuccinate lyase C-terminal
Mycgr3G101837,ns,False,,Complex I intermediate-associated protein 30 (CIA30)
Mycgr3G10184,ns,False,,Tetratricopeptide repeats
Mycgr3G101849,ns,True,MET1,Belongs to the precorrin methyltransferase family
Mycgr3G101850,ns,False,,Double-stranded DNA-binding domain
Mycgr3G101851,ns,False,MET16,Phosphoadenosine phosphosulfate reductase family
Mycgr3G101857,ns,False,HRR25,Belongs to the protein kinase superfamily
Mycgr3G101861,heat-specific,False,IPI3,"WD domain, G-beta repeat"
Mycgr3G101867,heat-specific,False,PRP21,Suppressor-of-White-APricot splicing regulator
Mycgr3G101874,heat-specific,True,,KR domain
Mycgr3G101876,fungicide-specific,True,,Sugar (and other) transporter
Mycgr3G101885,shared,True,,Belongs to the cytochrome P450 family
Mycgr3G101890,ns,False,,Antibiotic biosynthesis monooxygenase
Mycgr3G101893,ns,False,,Forkhead associated domain
Mycgr3G101897,ns,False,sed5,"Syntaxin-5 N-terminal, Sly1p-binding domain"
Mycgr3G101913,fungicide-specific,True,,Amino acid permease
Mycgr3G101921,fungicide-specific,True,,Flavin containing amine oxidoreductase
Mycgr3G101925,fungicide-specific,True,,
Mycgr3G101931,fungicide-specific,False,,"CrcB-like protein, Camphor Resistance (CrcB)"
Mycgr3G101933,ns,True,,
Mycgr3G101983,fungicide-specific,False,,Protein of unknown function (DUF3253)
Mycgr3G101995,ns,False,,"Protein present in Fab1, YOTB, Vac1, and EEA1"
Mycgr3G101997,shared,False,,Pfam:RRM_6
Mycgr3G102005,fungicide-specific,True,RPL23A,Belongs to the universal ribosomal protein uL14 family
Mycgr3G102012,ns,False,COX4,Cytochrome c oxidase subunit Vb
Mycgr3G102016,ns,False,,Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family
Mycgr3G102019,heat-specific,False,,Belongs to the BI1 family
Mycgr3G102025,ns,False,,Protein of unknown function (DUF498/DUF598)
Mycgr3G102027,fungicide-specific,True,,Ribosomal protein L34e
Mycgr3G102031,ns,False,,
Mycgr3G102033,ns,False,,
Mycgr3G102037,ns,False,,
Mycgr3G102047,shared,False,UTR2,Glycoside hydrolase family 16
Mycgr3G102052,ns,False,NCE102,Membrane-associating domain
Mycgr3G102064,ns,False,GLN1,Belongs to the glutamine synthetase family
Mycgr3G102067,fungicide-specific,False,,
Mycgr3G102068,shared,False,,GTP-binding protein EsdC
Mycgr3G102072,ns,False,BMH1,Belongs to the 14-3-3 family
Mycgr3G102079,shared,False,,ankyrin repeats
Mycgr3G102083,fungicide-specific,False,ICL1,Belongs to the isocitrate lyase PEP mutase superfamily. Isocitrate lyase family
Mycgr3G102085,fungicide-specific,True,,
Mycgr3G102108,fungicide-specific,False,,Protein of unknown function (DUF3602)
Mycgr3G102119,fungicide-specific,False,,Phospholipase_D-nuclease N-terminal
Mycgr3G102121,ns,False,tmk2,Mitogen-activated protein kinase
Mycgr3G102125,ns,False,,Fungal Zn(2)-Cys(6) binuclear cluster domain
Mycgr3G102127,fungicide-specific,False,ILV5,Belongs to the ketol-acid reductoisomerase family
Mycgr3G102131,ns,False,emi5,"Plays an essential role in the assembly of succinate dehydrogenase (SDH), an enzyme complex (also referred to as respiratory complex II) that is a component of both the tricarboxylic acid (TCA) cycle and the mitochondrial electron transport chain, and which couples the oxidation of succinate to fumarate with the reduction of ubiquinone (coenzyme Q) to ubiquinol. Required for flavinylation (covalent attachment of FAD) of the flavoprotein subunit of the SDH catalytic dimer"
Mycgr3G102133,ns,False,,
Mycgr3G102134,ns,False,,
Mycgr3G102136,ns,False,,
Mycgr3G102145,fungicide-specific,False,,
Mycgr3G102147,fungicide-specific,True,,
Mycgr3G102151,ns,False,SLY1,Belongs to the STXBP unc-18 SEC1 family
Mycgr3G102155,ns,False,,WD40 repeats
Mycgr3G102157,fungicide-specific,False,,"Serine/Threonine protein kinases, catalytic domain"
Mycgr3G102163,fungicide-specific,True,,zinc finger
Mycgr3G102170,ns,False,,Reticulon
Mycgr3G102173,ns,False,,N-terminal domain of oxidoreductase
Mycgr3G102176,fungicide-specific,False,,
Mycgr3G102177,ns,False,SCL1,Proteasome subunit alpha type
Mycgr3G102184,fungicide-specific,False,URA4,Dihydroorotase
Mycgr3G102189,ns,False,GUF1,"Promotes mitochondrial protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one- codon backward translocation of tRNAs on improperly translocated ribosomes. Binds to mitochondrial ribosomes in a GTP-dependent manner"
Mycgr3G102191,ns,False,COQ7,"Catalyzes the hydroxylation of 2-polyprenyl-3-methyl-6- methoxy-1,4-benzoquinol (DMQH2) during ubiquinone biosynthesis. Has also a structural role in the COQ enzyme complex, stabilizing other COQ polypeptides"
